Player,Sim,1,2,3,4,5,6,7,8
Solomon Jones,,1.9,1.6,0.8,0.5,0.3,0.0,0.0,-0.1
Ben Coleman,87.8,2.0,1.8,0.8,0.5,0.0,,,
Reggie Slater,85.1,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1
Henry Walker,81.8,1.9,1.1,0.9,0.5,0.5,,,
Donnell Harvey,81.7,2.0,1.8,0.7,0.2,0.1,,,
Bob Brannum,81.4,2.0,1.6,1.1,0.8,0.0,,,
Bob Portman,81.1,1.9,1.2,0.8,0.5,,,,
Tony Brown,80.5,1.8,1.3,0.9,0.5,0.2,0.2,0.0,
Kevin Seraphin,80.0,2.3,1.7,0.8,0.2,0.1,-0.2,,
Cliff Meely,79.7,1.8,1.2,1.0,0.4,0.2,,,
Pete Verhoeven,78.7,2.1,1.2,0.8,0.7,0.4,0.0,,
