Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,24,DEN,NBA,C,78,2457,,,,18%,82%,-0.7,+4.2,28,26,43,173,,22,,240,118,27,88
2001-02,25,TOT,NBA,C,78,2455,,,,25%,75%,-1.5,-0.9,37,24,33,0,,0,,196,0,20,73
2001-02,25,DEN,NBA,C,51,1668,,,,,100%,-5.0,+2.8,20,17,23,96,,12,,130,45,13,54
2001-02,25,DAL,NBA,C,27,787,,,,77%,23%,+5.4,+1.0,17,7,10,72,,7,,66,22,7,19
2002-03,26,DAL,NBA,C,69,1611,,,9%,34%,56%,+7.5,-1.4,19,7,20,146,,12,,120,44,21,52
2003-04,27,BOS,NBA,C,17,328,,,,36%,64%,+10.8,+13.3,7,2,2,25,,1,,51,5,1,3
2004-05,28,BOS,NBA,PF,80,2196,,,,61%,39%,+2.2,+2.8,37,18,15,158,,10,,226,73,28,64
2005-06,29,BOS,NBA,PF,82,2033,,,,49%,51%,-1.1,+1.1,38,12,15,176,,10,,263,30,6,27
2006-07,30,POR,NBA,PF,27,352,,,,73%,27%,-17.9,-14.1,8,2,3,35,,3,,19,13,4,4
2007-08,31,POR,NBA,C,39,291,,,,18%,82%,-6.1,-5.2,3,3,4,39,,4,,14,10,5,8
