Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2011-12,21,WAS,NBA,PG,64,779,.400,12.3,.809,.309,.132,.114,.255,.191,.427,.618,.379,.400,.232,.286,.211,.005,1,.917,.357,.200,0,0
2012-13,22,TOT,NBA,PG-SG,31,416,.460,17.0,.611,.159,.111,.087,.254,.389,.519,.550,.429,.636,.500,.367,.200,.000,0,.500,.184,.444,0,0
2012-13,22,WAS,NBA,PG,7,141,.400,16.9,.675,.150,.100,.100,.325,.325,.444,.500,.500,.500,.385,.308,.167,.000,0,1.000,.385,.400,0,0
2012-13,22,PHI,NBA,SG,4,7,.500,21.0,.500,.000,.000,.000,.500,.500,1.000,,,,1.000,.000,1.000,.000,0,,.000,,0,0
2012-13,22,ATL,NBA,PG,20,268,.488,16.9,.583,.167,.119,.083,.214,.417,.551,.571,.400,.714,.556,.400,.185,.000,0,.357,.114,.500,0,0
2013-14,23,ATL,NBA,PG,73,1490,.417,14.3,.633,.250,.160,.078,.146,.367,.464,.576,.350,.487,.384,.337,.367,.000,0,.694,.239,.364,0,0
2014-15,24,ATL,NBA,PG,55,833,.401,15.9,.565,.199,.137,.092,.137,.435,.467,.569,.375,.444,.425,.315,.442,.000,0,.800,.165,.476,0,0
2015-16,25,TOT,NBA,PG,52,1058,.439,12.2,.699,.217,.280,.092,.113,.301,.493,.689,.440,.395,.319,.312,.294,.000,0,.667,.304,.395,0,0
2015-16,25,ATL,NBA,PG,24,179,.421,12.4,.716,.242,.211,.116,.147,.284,.529,.739,.500,.455,.286,.148,.361,.000,0,.500,.259,.286,0,0
2015-16,25,UTA,NBA,PG,28,879,.444,12.2,.694,.209,.300,.084,.103,.306,.482,.672,.427,.370,.333,.357,.271,.000,0,.686,.316,.419,0,0
2016-17,26,UTA,NBA,PG,42,946,.444,13.4,.685,.245,.185,.152,.106,.315,.502,.595,.446,.478,.406,.316,.288,.000,0,.567,.221,.190,0,0
