Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1995-96,22,SEA,NBA,PG,43,389,10.7,.473,.100,.490,2.9,9.9,6.5,28.2,3.7,0.0,23.8,18.3,,-0.2,0.7,0.5,.061,,-3.9,0.5,-3.4,-0.1
1996-97,23,SEA,NBA,PG,67,775,12.5,.515,.091,.402,2.7,8.2,5.5,31.0,2.5,0.3,19.9,14.2,,1.0,0.9,1.9,.117,,-2.0,-1.4,-3.4,-0.3
1997-98,24,TOT,NBA,PG,64,918,11.7,.486,.092,.386,2.4,7.8,5.1,30.3,3.5,0.4,22.6,13.7,,0.3,1.0,1.3,.067,,-2.2,-0.7,-2.9,-0.2
1997-98,24,SEA,NBA,PG,17,74,2.2,.456,.043,.435,0.0,6.3,3.2,27.6,0.0,1.0,30.5,24.7,,-0.2,0.0,-0.2,-0.132,,-9.3,-5.0,-14.4,-0.2
1997-98,24,PHI,NBA,PG,47,844,12.5,.490,.099,.379,2.6,8.0,5.2,30.5,3.8,0.4,21.4,12.7,,0.6,0.9,1.5,.085,,-1.6,-0.3,-1.8,0.0
1998-99,25,PHI,NBA,PG,48,1716,12.9,.499,.060,.431,1.7,9.5,5.5,29.5,3.2,0.0,21.1,13.9,,1.3,2.5,3.8,.105,,-0.6,0.7,0.1,0.9
1999-00,26,PHI,NBA,PG,82,2866,12.8,.482,.075,.296,1.6,8.6,5.0,32.7,2.5,0.2,19.4,12.8,,2.4,3.7,6.1,.102,,-0.9,0.4,-0.5,1.1
2000-01,27,PHI,NBA,PG,50,1740,14.0,.488,.044,.354,1.8,8.8,5.4,33.9,2.3,0.3,19.8,16.3,,1.5,2.3,3.8,.105,,-0.4,0.3,-0.2,0.8
2001-02,28,PHI,NBA,PG,61,2225,14.7,.510,.043,.364,1.7,9.2,5.5,30.6,2.3,0.3,16.0,17.7,,2.6,2.9,5.5,.119,,-0.1,0.1,0.1,1.2
2002-03,29,PHI,NBA,PG,82,3108,15.6,.546,.040,.474,2.6,8.8,5.7,27.6,2.2,0.3,16.7,16.8,,5.7,2.7,8.4,.130,,1.1,-0.2,0.9,2.3
2003-04,30,PHI,NBA,PG,82,2966,13.5,.494,.025,.442,2.5,8.6,5.6,33.0,1.8,0.2,18.0,16.5,,3.2,2.3,5.5,.090,,-0.5,-0.7,-1.2,0.6
2004-05,31,CLE,NBA,SG,81,1844,9.0,.445,.138,.245,2.3,7.7,5.0,25.1,1.9,0.6,19.7,11.1,,0.5,1.4,1.9,.050,,-2.8,-0.8,-3.6,-0.7
2005-06,32,CLE,NBA,PG,82,2351,8.1,.444,.025,.233,1.9,8.1,5.0,22.2,1.7,0.6,20.9,10.9,,0.0,2.0,2.1,.042,,-3.1,0.5,-2.6,-0.3
2006-07,33,CLE,NBA,PG,82,1929,8.6,.458,.012,.349,2.1,9.5,5.7,25.2,1.5,0.6,22.9,11.4,,0.2,2.6,2.8,.069,,-3.8,0.8,-3.0,-0.5
2007-08,34,CLE,NBA,PG,22,305,3.1,.231,.053,.579,1.4,6.2,3.7,19.1,1.7,1.0,17.3,8.6,,-0.4,0.3,-0.1,-0.021,,-7.2,-0.2,-7.4,-0.4
