Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Evan Fournier,,5.7,2.1,1.4,1.0,,,,,,,
Gene Vance,89.8,5.3,2.2,1.6,1.3,0.0,,,,,,
Matt Maloney,86.9,5.3,2.2,1.5,0.7,0.1,-0.3,,,,,
Ed Fleming,83.3,5.0,2.0,1.2,1.0,0.8,,,,,,
Michael Dickerson,82.4,5.5,2.2,1.8,0.1,-0.1,,,,,,
Johnny Neumann,76.2,4.6,2.0,1.6,0.8,0.6,0.0,-0.1,,,,
Troy Hudson,75.9,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0.1,0.0,-0.1,-0.2
Kentavious Caldwell-Pope,75.3,5.3,2.8,1.8,,,,,,,,
Jason Hart,75.1,4.8,1.9,1.5,0.4,0.3,0.1,0.0,0.0,-0.3,,
Don Carlson,74.4,5.8,2.8,2.6,0.2,,,,,,,
C.J. McCollum,71.6,6.0,1.8,0.2,,,,,,,,
