Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2004-05,23,ATL,NBA,PG,62,809,99%,1%,,,,-4.4,+7.9,25,16,17,43,,12,,223,26,8,24
2005-06,24,ATL,NBA,PG,73,978,100%,,,,,-7.2,-2.4,15,3,5,60,,4,,164,9,1,9
2006-07,25,ATL,NBA,PG,53,539,66%,31%,4%,,,-6.9,-1.8,9,10,12,27,,6,,95,10,1,8
2007-08,26,MIL,NBA,PG,75,1437,54%,46%,,,,-9.3,-2.7,29,22,24,67,,11,,367,49,7,31
2008-09,27,PHI,NBA,SG,71,861,2%,89%,8%,,,-7.7,-9.8,10,5,8,36,,5,,94,17,1,11
2009-10,28,TOT,NBA,SG,44,326,46%,52%,2%,,,-0.5,+0.8,5,1,5,0,,0,,61,0,2,7
2009-10,28,PHI,NBA,SG,26,236,50%,49%,1%,,,-2.9,+1.9,2,1,2,7,,0,,38,4,1,5
2009-10,28,MIL,NBA,SG,18,90,37%,60%,4%,,,+5.7,+3.9,3,0,3,7,,2,,23,1,1,2
2010-11,29,OKC,NBA,SG,25,155,10%,86%,4%,,,-9.0,-13.7,1,1,3,7,,3,,15,0,0,1
2011-12,30,OKC,NBA,SG,34,354,1%,99%,,,,+1.7,-5.7,5,0,4,14,,1,,25,3,2,1
2012-13,31,PHI,NBA,SG,53,698,43%,57%,,,,-4.9,-1.6,9,7,4,32,,3,5,72,3,1,5
2013-14,32,OKC,NBA,SG,2,5,100%,,,,,-25.0,-31.8,0,0,0,1,0,0,0,0,0,0,0
