Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,25,ATL,NBA,C,71,1988,,,,50%,50%,-7.9,-4.2,34,39,52,108,,35,,195,96,20,58
2001-02,26,MEM,NBA,C,43,1251,,,,71%,29%,-6.4,+2.6,30,15,27,56,,14,,100,53,19,47
2002-03,27,MEM,NBA,C,70,1982,,,,8%,92%,-5.3,-3.6,47,33,30,87,,15,,179,100,25,62
2003-04,28,MEM,NBA,C,65,1674,,,,7%,93%,+0.3,-4.3,24,24,29,86,,18,,160,59,11,48
2004-05,29,MEM,NBA,C,80,2287,,,,7%,93%,+1.4,-3.6,34,35,31,114,,23,,205,94,22,63
2005-06,30,MEM,NBA,C,78,1689,,,,2%,98%,+4.9,+0.6,23,20,24,94,,16,,114,60,17,46
2006-07,31,ATL,NBA,C,67,1035,,,,7%,93%,-7.2,-2.5,9,9,21,109,,17,,90,15,4,20
2007-08,32,TOT,NBA,C,18,161,,,,6%,94%,-4.9,-2.8,0,0,4,0,,0,,10,0,0,1
2007-08,32,ATL,NBA,C,13,148,,,,5%,95%,-3.2,-1.2,0,0,2,14,,2,,7,3,0,1
2007-08,32,SAC,NBA,C,5,13,,,,17%,83%,-24.0,-21.7,0,0,2,3,,1,,3,0,0,0
2008-09,33,CLE,NBA,C,17,125,,,,,100%,+2.2,-8.4,2,3,4,10,,4,,6,2,0,5
