Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1999-00,25,BOS,NBA,SG,72,47,1927,4.6,10.9,.424,0.4,1.5,.281,4.2,9.4,.447,3.1,4.2,.753,3.4,6.4,9.8,4.7,3.1,0.4,2.4,5.8,12.8,,107,104
2000-01,26,BOS,NBA,SF,44,0,377,4.5,13.3,.340,1.2,3.6,.346,3.3,9.8,.338,2.5,3.3,.750,3.7,8.3,12.0,3.7,2.5,0.7,2.5,6.2,12.8,,94,102
2001-02,27,DAL,NBA,SG,58,34,1383,6.7,13.4,.499,0.6,2.0,.296,6.1,11.4,.534,1.5,1.8,.837,2.5,6.0,8.6,4.0,2.8,0.4,1.6,5.3,15.5,,115,106
2002-03,28,DAL,NBA,SG,74,48,1373,5.5,12.7,.433,0.2,0.9,.250,5.3,11.8,.447,1.0,1.2,.844,3.3,6.6,10.0,4.0,2.9,0.2,1.8,5.9,12.3,,103,101
2003-04,29,HOU,NBA,SG,19,1,133,2.1,7.4,.278,0.4,0.8,.500,1.6,6.6,.250,0.0,1.6,.000,0.4,7.4,7.8,4.1,2.9,0.8,1.2,7.0,4.5,,72,96
2004-05,30,CHI,NBA,SF,69,1,667,4.5,12.5,.360,0.2,0.7,.222,4.4,11.8,.368,2.6,3.4,.750,4.0,7.3,11.4,4.1,3.3,0.3,2.3,6.1,11.8,,96,97
2005-06,31,DAL,NBA,SG,52,45,1245,4.3,9.0,.480,0.0,0.1,.000,4.3,8.9,.485,1.8,2.3,.774,3.3,6.7,10.0,3.9,2.2,0.4,1.7,5.0,10.4,,115,105
2006-07,32,CHI,NBA,SF,54,1,585,5.3,11.3,.473,0.0,0.5,.000,5.3,10.8,.496,1.3,1.7,.789,3.5,6.0,9.6,5.2,2.8,0.4,3.3,6.8,12.0,,99,98
2007-08,33,TOT,NBA,SG-SF,35,2,307,5.0,12.6,.395,0.0,0.0,,5.0,12.6,.395,0.8,1.5,.556,4.7,5.2,9.8,4.5,2.8,0.3,3.5,4.5,10.8,,88,107
2007-08,33,CHI,NBA,SG,22,2,222,5.6,13.9,.400,0.0,0.0,,5.6,13.9,.400,0.7,1.6,.429,4.4,4.2,8.6,5.1,2.8,0.2,3.7,4.4,11.9,,87,107
2007-08,33,SEA,NBA,SF,13,0,85,3.5,9.4,.375,0.0,0.0,,3.5,9.4,.375,1.2,1.2,1.000,5.3,7.6,12.9,2.9,2.9,0.6,2.9,4.7,8.2,,90,106
