Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2007-08,22,WAS,NBA,SG,70,695,6.6,.397,.058,.311,8.7,14.9,11.7,8.3,1.5,3.1,25.5,10.4,,-0.6,0.6,0.0,-0.003,,-4.8,1.8,-3.1,-0.2
2008-09,23,WAS,NBA,SF,79,2072,10.8,.483,.012,.315,6.2,18.4,12.1,13.8,1.6,2.9,20.0,10.1,,0.5,1.3,1.7,.040,,-2.7,2.2,-0.5,0.8
2009-10,24,TOT,NBA,SF,51,307,3.8,.345,.000,.135,8.5,21.3,14.8,5.1,0.8,1.0,23.6,10.6,,-0.5,0.3,-0.2,-0.038,,-7.1,0.2,-6.9,-0.4
2009-10,24,WAS,NBA,SF,41,240,4.2,.355,.000,.125,8.0,21.4,14.6,4.8,0.9,1.0,19.2,9.9,,-0.3,0.2,-0.1,-0.015,,-6.5,0.3,-6.2,-0.3
2009-10,24,SAC,NBA,SF,10,67,2.4,.311,.000,.167,10.1,20.8,15.4,6.1,0.8,1.1,35.2,13.1,,-0.2,0.0,-0.2,-0.122,,-9.2,0.1,-9.1,-0.1
2010-11,25,CHA,NBA,SF,52,760,10.4,.437,.011,.214,10.0,21.8,15.9,9.0,0.7,3.5,11.2,13.8,,0.1,0.9,0.9,.059,,-4.0,1.5,-2.5,-0.1
2011-12,26,GSW,NBA,PF,64,1127,11.8,.486,.019,.252,7.4,17.4,12.4,14.0,2.0,2.5,19.4,11.8,,0.6,0.9,1.5,.062,,-2.4,2.0,-0.4,0.4
2012-13,27,TOT,NBA,SF,26,387,7.7,.422,.000,.179,5.7,18.4,12.0,7.5,1.8,2.3,16.6,8.7,,-0.1,0.4,0.3,.035,,-4.2,2.2,-1.9,0.0
2012-13,27,TOR,NBA,SF,15,230,7.5,.462,.000,.188,5.6,19.5,12.4,6.4,1.2,2.8,16.8,8.4,,0.0,0.2,0.2,.045,,-4.4,2.1,-2.3,0.0
2012-13,27,NOH,NBA,SF,9,145,9.1,.434,.000,.095,5.7,17.6,11.5,9.1,3.0,1.7,18.6,8.6,,0.0,0.1,0.1,.043,,-3.2,2.8,-0.4,0.1
2012-13,27,IND,NBA,SF,2,12,-6.0,.000,.000,.667,9.5,9.1,9.3,11.5,0.0,0.0,0.0,14.7,,-0.1,0.0,-0.1,-0.239,,-12.0,-1.3,-13.3,0.0
