Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,WAS,NBA,SG,70,1,9.9,0.6,1.5,.379,0.0,0.1,.167,0.5,1.4,.392,.383,0.2,0.5,.438,0.8,1.2,2.0,0.6,0.3,0.4,0.6,1.1,1.3
2008-09,23,WAS,NBA,SF,79,57,26.2,1.8,4.1,.432,0.0,0.1,.500,1.7,4.1,.431,.435,0.9,1.3,.725,1.4,4.0,5.4,2.5,0.8,0.9,1.2,1.9,4.5
2009-10,24,TOT,NBA,SF,51,2,6.0,0.4,1.0,.365,0.0,0.0,,0.4,1.0,.365,.365,0.0,0.1,.000,0.5,1.1,1.5,0.2,0.1,0.1,0.3,0.7,0.7
2009-10,24,WAS,NBA,SF,41,0,5.9,0.4,1.0,.375,0.0,0.0,,0.4,1.0,.375,.375,0.0,0.1,.000,0.4,1.1,1.5,0.2,0.1,0.1,0.2,0.8,0.7
2009-10,24,SAC,NBA,SF,10,2,6.7,0.4,1.2,.333,0.0,0.0,,0.4,1.2,.333,.333,0.0,0.2,.000,0.6,1.2,1.8,0.3,0.1,0.1,0.7,0.3,0.8
2010-11,25,CHA,NBA,SF,52,8,14.6,1.4,3.5,.396,0.0,0.0,.000,1.4,3.5,.400,.396,0.6,0.8,.769,1.2,2.6,3.8,0.8,0.2,0.6,0.5,1.8,3.3
2011-12,26,GSW,NBA,PF,64,6,17.6,1.5,3.3,.448,0.0,0.1,.000,1.5,3.2,.456,.448,0.6,0.8,.736,1.1,2.7,3.8,1.7,0.7,0.6,0.9,1.6,3.5
2012-13,27,TOT,NBA,SF,26,10,14.9,0.9,2.2,.429,0.0,0.0,,0.9,2.2,.429,.429,0.1,0.4,.300,0.7,2.3,3.0,0.8,0.5,0.4,0.5,1.5,2.0
2012-13,27,TOR,NBA,SF,15,9,15.3,1.0,2.1,.469,0.0,0.0,,1.0,2.1,.469,.469,0.1,0.4,.333,0.7,2.5,3.2,0.7,0.3,0.5,0.5,1.7,2.1
2012-13,27,NOH,NBA,SF,9,0,16.1,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.1,0.2,.500,0.8,2.3,3.1,1.0,0.9,0.3,0.6,1.4,2.1
2012-13,27,IND,NBA,SF,2,1,6.0,0.0,1.5,.000,0.0,0.0,,0.0,1.5,.000,.000,0.0,1.0,.000,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0
