Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,22,BOS,NBA,PG,81,2,17.1,2.2,5.5,.400,0.3,1.1,.314,1.9,4.4,.421,.431,1.2,1.6,.756,0.4,1.3,1.6,2.2,1.1,0.2,1.5,2.1,5.9
2004-05,23,BOS,NBA,PG,81,2,14.1,1.4,3.5,.402,0.3,0.7,.356,1.2,2.8,.414,.439,1.5,2.0,.742,0.4,1.2,1.6,1.9,0.8,0.2,1.0,1.8,4.6
2005-06,24,TOT,NBA,PG,58,29,25.8,3.8,8.1,.468,0.4,1.1,.349,3.4,7.0,.486,.491,2.0,2.5,.803,0.4,1.9,2.3,3.8,0.9,0.2,2.1,2.8,10.0
2005-06,24,BOS,NBA,PG,18,1,14.9,1.8,4.4,.413,0.3,1.1,.316,1.5,3.4,.443,.450,1.5,1.7,.900,0.2,0.8,1.1,1.8,0.4,0.0,1.3,2.1,5.5
2005-06,24,MIN,NBA,PG,40,28,30.7,4.7,9.7,.479,0.4,1.1,.364,4.3,8.6,.494,.500,2.3,2.9,.778,0.5,2.4,2.9,4.7,1.2,0.3,2.4,3.1,12.0
2006-07,25,PHO,NBA,PG,45,1,11.2,1.9,4.4,.429,0.1,0.6,.172,1.8,3.7,.473,.441,1.1,1.3,.800,0.2,0.6,0.8,1.3,0.5,0.1,0.9,1.6,4.9
2007-08,26,TOT,NBA,PG,36,3,15.8,2.4,5.3,.450,1.1,2.8,.392,1.3,2.5,.517,.555,0.8,1.0,.771,0.1,1.1,1.3,1.7,0.4,0.4,1.0,1.8,6.6
2007-08,26,PHO,NBA,PG,24,1,12.9,1.8,4.5,.404,1.0,2.7,.385,0.8,1.8,.432,.518,0.5,0.7,.750,0.1,0.7,0.8,1.0,0.3,0.3,0.7,1.6,5.2
2007-08,26,MIA,NBA,PG,12,2,21.6,3.5,6.8,.512,1.3,3.1,.405,2.3,3.8,.600,.604,1.3,1.6,.789,0.1,2.0,2.1,3.0,0.5,0.4,1.8,2.3,9.5
2008-09,27,TOT,NBA,PG,22,0,9.4,1.0,2.6,.368,0.1,0.9,.158,0.8,1.7,.474,.395,0.5,0.8,.611,0.0,0.8,0.8,1.3,0.5,0.1,0.6,1.2,2.5
2008-09,27,MIA,NBA,PG,16,0,10.4,0.9,2.4,.385,0.1,0.9,.143,0.8,1.6,.520,.410,0.6,0.9,.667,0.0,0.9,0.9,1.4,0.6,0.1,0.7,1.3,2.6
2008-09,27,TOR,NBA,PG,6,0,6.7,1.0,3.0,.333,0.2,0.8,.200,0.8,2.2,.385,.361,0.2,0.5,.333,0.2,0.3,0.5,1.0,0.2,0.0,0.5,0.8,2.3
2009-10,28,TOR,NBA,PG,22,0,11.1,1.8,3.3,.534,0.3,1.1,.292,1.5,2.2,.653,.582,1.1,1.3,.828,0.1,0.9,1.0,1.2,0.5,0.1,0.9,1.4,5.0
2010-11,29,TOR,NBA,PG,3,0,7.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,2.0,2.7,.750,0.0,0.3,0.3,1.0,0.3,0.0,0.7,1.3,2.0
