Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2008-09,24,CHA,NBA,SF,33,266,,33%,65%,2%,,+7.2,+9.2,1,3,5,13,,3,,26,9,1,5
2009-10,25,TOT,NBA,SF,18,390,,9%,82%,7%,2%,+0.3,+5.1,11,5,3,0,,0,,36,0,4,6
2009-10,25,GSW,NBA,SF,10,276,,5%,83%,9%,3%,+2.8,+7.0,7,5,1,24,,1,,21,10,3,3
2009-10,25,WAS,NBA,SF,8,114,,19%,81%,,,-6.5,-1.0,4,0,2,6,,1,,15,5,1,3
2010-11,26,WAS,NBA,SF,52,542,,36%,62%,2%,,+1.8,+11.5,7,4,5,25,,3,,39,16,1,8
2011-12,27,WAS,NBA,SF,17,391,,12%,87%,1%,,+3.6,+11.0,4,5,4,16,,2,,20,8,2,2
2012-13,28,WAS,NBA,SF,41,694,,19%,78%,3%,,-4.4,-1.7,11,8,13,28,,6,1,44,13,2,7
2013-14,29,TOT,NBA,SF,59,870,,21%,76%,3%,,-6.5,-8.3,18,7,9,0,0,0,0,79,0,8,9
2013-14,29,ATL,NBA,SF,53,822,,19%,77%,4%,,-6.3,-7.5,17,7,9,30,10,5,1,75,22,8,9
2013-14,29,CHI,NBA,SF,6,48,,45%,55%,,,-10.1,-12.3,1,0,0,0,0,0,0,4,1,0,0
2014-15,30,DET,NBA,SF,23,198,,55%,45%,,,+4.5,+6.2,0,2,2,9,0,2,2,28,0,0,3
