Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Career,,,NBA,,662,10297,10.9,.499,.014,.488,1.6,9.8,5.7,22.3,1.7,0.2,16.4,13.3,,8.2,6.3,14.5,.068,,-2.6,-1.1,-3.8,-4.6
6 seasons,,PHI,NBA,,280,3500,9.3,.488,.013,.333,1.5,8.9,5.2,19.7,1.6,0.1,15.0,11.8,,2.1,2.6,4.7,.065,,-3.1,-1.0,-4.1,-1.9
1 season,,CLE,NBA,,82,1401,12.2,.510,.035,.685,1.8,11.6,6.7,25.0,1.9,0.4,19.5,13.3,,1.5,1.0,2.4,.083,,-2.1,-1.1,-3.2,-0.4
2 seasons,,"SEA,OKC",NBA,,54,1033,12.2,.504,.009,.411,1.8,10.5,6.1,19.9,2.1,0.1,13.3,14.2,,1.1,0.9,2.0,.094,,-1.9,0.0,-1.9,0.0
1 season,,MIL,NBA,,53,1127,13.5,.513,.020,.357,1.2,9.1,5.1,24.3,1.7,0.3,10.9,13.7,,2.0,0.1,2.1,.090,,-0.9,-2.3,-3.1,-0.3
1 season,,CHI,NBA,,52,1146,11.2,.490,.008,.514,1.8,11.5,6.5,26.9,1.7,0.1,20.5,15.7,,0.3,0.5,0.7,.031,,-3.2,-1.5,-4.7,-0.8
1 season,,MIN,NBA,,50,850,9.9,.525,.007,.640,1.7,8.9,5.2,20.2,1.2,0.4,15.0,12.0,,0.9,0.3,1.2,.067,,-2.6,-1.2,-3.8,-0.4
1 season,,IND,NBA,,29,577,14.3,.554,.000,.970,1.4,9.3,5.5,25.4,2.4,0.1,15.4,13.3,,1.1,0.5,1.6,.136,,-0.9,-0.4,-1.3,0.1
2 seasons,,ORL,NBA,,20,220,9.6,.502,.018,.825,1.6,8.8,5.1,25.3,1.8,0.0,26.5,22.0,,-0.2,0.2,-0.1,-0.012,,-5.1,-2.3,-7.3,-0.3
1 season,,NJN,NBA,,19,161,5.5,.311,.000,.704,2.1,14.7,8.2,23.0,1.6,0.0,20.3,12.5,,-0.2,0.1,-0.1,-0.045,,-6.8,-1.1,-7.8,-0.2
1 season,,DAL,NBA,,16,214,7.9,.434,.000,.595,3.1,8.0,5.5,22.7,1.5,0.0,23.2,14.8,,-0.1,0.1,-0.1,-0.017,,-5.4,-2.2,-7.7,-0.3
1 season,,SAC,NBA,,7,68,4.1,.395,.000,.385,0.0,9.3,4.7,6.1,2.2,0.9,16.5,11.4,,-0.1,0.1,0.0,-0.011,,-6.7,0.3,-6.4,-0.1
