Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Jason Collins,,4.9,4.7,3.9,3.0,2.0,0.6,0.6,0.4,0.2,0.1,0.1,-0.1,-0.2
JaVale McGee,85.5,5.3,4.9,4.1,2.1,2.0,1.1,0.4,-0.1,,,,,
Kevin Kunnert,85.1,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2,0.0,,,,
Randy Denton,83.6,5.5,4.3,3.9,3.1,3.0,0.4,,,,,,,
Tim McCormick,83.3,6.0,4.6,3.9,3.8,2.0,1.1,0.2,-0.1,,,,,
Randy Breuer,80.6,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1,0.0,,
Blair Rasmussen,80.4,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1,,,,,
Nenad Krstic,79.8,5.4,4.4,4.2,4.0,1.9,1.7,-0.1,,,,,,
Kurt Nimphius,79.7,4.8,3.3,3.1,2.9,1.5,1.0,0.7,0.1,,,,,
Joel Przybilla,79.4,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1,0.0
Oliver Miller,78.8,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0.0,,,,
