Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2001-02,23,MIA,NBA,PF,12,2,161,7.5,17.4,.431,0.0,0.3,.000,7.5,17.1,.440,2.7,3.4,.800,5.1,7.8,13.0,1.7,1.0,2.7,0.7,5.5,17.7,,108,99
2002-03,24,MIA,NBA,PF,80,73,2318,7.9,18.6,.424,0.0,0.1,.000,7.9,18.5,.426,2.3,2.9,.802,3.2,6.9,10.0,1.3,0.9,1.8,3.0,5.5,18.1,,89,103
2003-04,25,MIA,NBA,PF,45,6,616,7.4,17.5,.419,0.0,0.0,,7.4,17.5,.419,2.2,2.9,.758,3.7,6.8,10.5,1.4,1.1,2.5,2.4,7.2,16.9,,93,101
2004-05,26,TOT,NBA,PF,36,1,519,8.5,17.9,.475,0.0,0.0,,8.5,17.9,.475,2.6,2.8,.929,4.0,6.0,10.0,1.8,0.9,2.2,1.8,5.4,19.6,,108,106
2004-05,26,MIA,NBA,PF,14,0,248,7.5,16.2,.461,0.0,0.0,,7.5,16.2,.461,2.8,3.0,.929,5.1,6.0,11.1,2.3,0.9,2.3,2.3,6.2,17.7,,107,104
2004-05,26,CHA,NBA,PF,22,1,271,9.4,19.4,.485,0.0,0.0,,9.4,19.4,.485,2.5,2.7,.929,3.1,6.0,9.0,1.3,1.0,2.1,1.3,4.6,21.3,,108,109
2005-06,27,CHI,NBA,PF,54,20,701,8.9,18.2,.490,0.1,0.1,1.000,8.8,18.1,.488,1.7,2.8,.605,3.2,7.1,10.3,1.5,1.0,1.2,2.5,6.8,19.6,,98,104
2006-07,28,CHI,NBA,PF,60,1,638,8.6,20.7,.415,0.0,0.1,.000,8.6,20.6,.416,2.2,2.7,.824,3.4,6.2,9.6,1.3,1.4,1.3,1.7,6.8,19.4,,96,100
2007-08,29,TOT,NBA,PF,73,16,1096,7.5,15.7,.480,0.0,0.1,.500,7.5,15.6,.480,1.1,1.2,.920,3.2,6.3,9.4,2.1,0.9,1.5,2.2,7.2,16.3,,100,109
2007-08,29,NJN,NBA,PF,48,12,763,8.5,17.9,.475,0.1,0.1,.500,8.5,17.8,.475,0.8,0.9,.923,2.9,5.9,8.8,2.0,1.0,1.4,2.2,6.1,17.9,,97,110
2007-08,29,DAL,NBA,PF,25,4,333,5.3,10.6,.500,0.0,0.0,,5.3,10.6,.500,1.8,1.9,.917,3.8,7.0,10.9,2.4,0.6,1.6,2.1,9.6,12.3,,110,107
2008-09,30,MIL,NBA,PF,49,3,579,6.5,15.2,.429,0.0,0.1,.000,6.5,15.1,.432,0.9,1.9,.476,3.1,6.1,9.2,3.1,0.6,1.1,1.8,8.0,14.0,,96,110
2009-10,31,DEN,NBA,PF,51,3,456,5.1,12.9,.397,0.1,0.7,.167,5.0,12.2,.409,1.3,1.4,.923,4.0,5.1,9.1,1.8,1.2,0.6,2.4,7.6,11.7,,93,110
2010-11,32,ORL,NBA,PF,18,0,178,3.3,9.2,.355,0.0,0.0,,3.3,9.2,.355,0.3,0.6,.500,3.5,5.9,9.5,1.2,0.3,1.2,0.9,8.9,6.8,,92,105
