Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1994-95,26,ORL,NBA,PG,3,8,40.2,.563,.750,.250,14.8,0.0,7.2,76.1,6.3,0.0,10.1,53.0,,0.1,0.0,0.1,.492,,31.7,3.1,34.8,0.1
1995-96,27,ORL,NBA,PG,13,41,32.4,.622,.375,.125,0.0,5.6,2.8,29.3,7.7,0.0,15.1,43.8,,0.0,0.1,0.1,.158,,8.0,-1.4,6.6,0.1
1996-97,28,ORL,NBA,PG,67,1010,14.7,.525,.525,.307,4.0,4.9,4.4,29.7,3.3,0.7,20.2,22.4,,0.7,1.1,1.8,.085,,0.9,-1.7,-0.7,0.3
1997-98,29,ORL,NBA,PG,48,1236,15.7,.509,.179,.324,6.1,9.2,7.6,33.4,2.6,0.3,20.5,20.2,,1.2,1.3,2.5,.096,,1.1,0.0,1.1,1.0
1998-99,30,ORL,NBA,PG,50,1502,22.2,.575,.362,.341,4.0,10.0,7.0,40.8,3.9,0.2,20.8,22.9,,3.8,2.7,6.4,.205,,5.1,0.8,5.9,3.0
1999-00,31,ORL,NBA,PG,82,2590,19.5,.542,.360,.221,2.7,8.6,5.7,31.4,3.2,0.2,16.8,23.9,,4.6,3.4,8.0,.149,,4.3,0.0,4.4,4.2
2000-01,32,ORL,NBA,PG,75,2767,18.6,.535,.402,.249,3.7,10.2,6.9,31.3,2.5,0.3,15.2,21.0,,5.8,2.9,8.7,.151,,4.0,-0.5,3.5,3.8
2001-02,33,ORL,NBA,PG,82,2730,16.7,.553,.481,.248,3.4,9.7,6.5,25.5,3.0,0.3,16.0,17.9,,5.0,2.6,7.6,.134,,3.0,0.0,3.0,3.4
2002-03,34,ORL,NBA,PG,82,2350,14.6,.530,.361,.292,4.3,10.2,7.2,21.7,3.0,0.4,18.1,16.9,,2.7,2.2,4.9,.100,,0.8,0.3,1.2,1.9
2003-04,35,NOH,NBA,PG,79,2247,15.6,.525,.583,.196,3.1,8.5,5.7,24.3,3.2,0.5,16.2,19.4,,2.8,2.5,5.3,.114,,2.3,-0.3,1.9,2.2
2004-05,36,TOT,NBA,PG,66,988,11.0,.430,.401,.245,4.0,9.3,6.7,27.9,2.4,0.6,17.9,17.3,,-0.2,1.0,0.8,.039,,-1.2,-0.4,-1.6,0.1
2004-05,36,NOH,NBA,PG,14,412,11.1,.422,.440,.132,4.4,9.6,6.9,28.5,2.0,0.4,14.3,22.1,,-0.3,0.3,0.0,-0.002,,-0.5,-1.3,-1.8,0.0
2004-05,36,DAL,NBA,PG,52,576,10.9,.440,.347,.398,3.8,9.1,6.5,27.5,2.7,0.8,21.9,13.8,,0.1,0.7,0.8,.069,,-1.6,0.2,-1.5,0.1
2005-06,37,DAL,NBA,PG,62,622,7.3,.444,.375,.328,3.6,12.0,7.8,20.6,2.4,0.4,28.4,15.4,,-0.7,0.7,0.0,.003,,-3.1,0.2,-2.9,-0.1
2006-07,38,IND,NBA,PG,81,1275,15.1,.547,.568,.247,3.0,9.3,6.1,24.8,2.9,0.4,15.4,17.4,,1.7,1.5,3.2,.121,,1.7,-0.6,1.1,1.0
2007-08,39,NJN,NBA,PG,50,549,8.7,.499,.627,.273,3.6,10.6,7.1,20.5,2.7,0.3,25.0,13.7,,-0.2,0.5,0.3,.024,,-2.6,-0.4,-3.0,-0.1
