Player,Sim,1,2,3,4,5,6,7
Jake Tsakalidis,,2.8,2.8,1.3,1.2,0.9,0.6,0.3
Steven Hunter,84.1,2.8,2.6,2.5,1.0,0.9,0.6,0.1
Hub Reed,82.4,2.8,2.0,1.7,1.3,1.0,0.6,0.0
Bill Wennington,81.8,3.5,2.1,1.3,1.2,0.9,0.5,0.4
Mikki Moore,78.5,2.8,2.6,2.2,1.0,0.6,0.1,0.1
Michael Doleac,75.6,3.0,2.2,1.9,1.7,1.5,0.3,0.3
Jim Krebs,75.5,4.2,2.8,1.5,1.3,1.3,1.2,0.1
Jake Voskuhl,75.5,3.3,2.7,2.5,1.7,1.0,0.6,0.0
Jim McIlvaine,75.1,3.0,1.9,1.8,1.5,0.8,0.3,0.1
Hank Finkel,74.7,3.4,3.4,2.3,1.2,1.0,0.9,0.0
Francisco Elson,74.7,3.1,2.9,1.8,1.8,1.6,0.0,0.0
