Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1995-96,22,TOR,NBA,PG,70,70,2865,8.6,20.3,.426,2.4,6.1,.395,6.3,14.2,.439,4.2,5.3,.797,1.1,4.0,5.1,11.7,1.8,0.3,4.8,3.0,23.9,,108,115
1996-97,23,TOR,NBA,PG,81,81,3311,9.0,22.5,.401,2.8,7.9,.355,6.2,14.6,.426,5.3,6.4,.823,1.4,3.9,5.3,11.3,2.0,0.2,4.6,2.6,26.2,,109,111
1997-98,24,TOT,NBA,PG,71,71,2839,8.2,20.1,.411,1.7,5.6,.299,6.6,14.5,.454,4.4,5.3,.829,1.6,3.9,5.5,10.7,2.1,0.1,4.1,2.8,22.5,,106,111
1997-98,24,TOR,NBA,PG,49,49,2033,9.0,21.2,.425,1.7,5.2,.317,7.4,16.0,.460,4.6,5.4,.844,1.6,3.9,5.5,10.2,2.0,0.1,4.1,2.9,24.3,,107,114
1997-98,24,POR,NBA,PG,22,22,806,6.2,17.1,.364,1.7,6.6,.263,4.5,10.5,.428,3.9,5.0,.787,1.6,3.8,5.4,12.0,2.2,0.1,4.2,2.5,18.1,,103,105
1998-99,25,POR,NBA,PG,50,50,1673,8.0,20.2,.396,1.4,4.6,.310,6.6,15.7,.421,2.9,3.9,.730,1.3,4.1,5.4,10.0,1.6,0.1,3.5,2.6,20.3,,101,102
1999-00,26,POR,NBA,PG,78,78,2372,8.7,20.1,.432,1.8,4.8,.377,6.9,15.4,.449,2.7,3.3,.841,1.4,4.1,5.5,9.1,1.7,0.0,3.4,3.9,21.9,,107,104
2000-01,27,POR,NBA,PG,82,82,2655,8.2,19.0,.434,1.7,4.4,.374,6.6,14.5,.453,3.5,4.2,.831,1.4,4.7,6.1,9.5,2.1,0.2,3.9,4.1,21.6,,106,104
2001-02,28,POR,NBA,PG,75,71,2796,7.1,17.6,.402,2.0,5.7,.353,5.1,12.0,.425,3.3,3.8,.888,1.5,4.1,5.6,9.4,1.3,0.1,2.9,2.9,19.5,,111,108
2002-03,29,POR,NBA,PG,59,27,1315,6.4,16.9,.376,1.8,4.7,.386,4.6,12.3,.372,2.2,2.7,.791,1.6,4.7,6.3,8.3,1.6,0.2,3.3,2.7,16.7,,99,106
2003-04,30,POR,NBA,PG,82,82,3118,7.3,18.2,.401,2.8,7.6,.365,4.5,10.6,.426,2.3,2.6,.876,0.9,4.6,5.5,8.9,1.8,0.2,3.2,3.1,19.6,,107,108
2004-05,31,POR,NBA,PG,81,70,2762,8.8,22.5,.392,3.5,9.5,.369,5.3,13.1,.409,3.5,3.9,.915,1.1,4.9,6.0,8.9,1.7,0.0,3.2,3.1,24.7,,108,110
2005-06,32,MEM,NBA,PG,27,27,862,7.4,18.5,.397,2.3,6.7,.346,5.0,11.8,.426,3.4,4.0,.855,1.5,4.6,6.1,8.3,1.2,0.1,3.5,3.2,20.5,,104,105
2006-07,33,MEM,NBA,PG,62,51,1501,5.8,14.9,.391,2.0,6.0,.337,3.8,9.0,.427,2.3,2.8,.795,1.1,3.7,4.7,10.2,1.6,0.1,3.5,3.2,16.0,,104,115
2007-08,34,TOT,NBA,PG,60,33,1037,6.0,16.8,.356,2.5,7.4,.336,3.5,9.4,.372,1.3,1.7,.794,1.0,4.9,5.9,8.2,1.5,0.1,4.0,3.8,15.8,,92,110
2007-08,34,MEM,NBA,PG,29,29,624,6.2,15.7,.397,2.9,7.6,.383,3.3,8.1,.410,1.7,2.1,.808,1.1,4.6,5.7,9.0,1.5,0.0,4.0,3.7,17.0,,102,113
2007-08,34,SAS,NBA,PG,31,4,413,5.6,18.7,.301,1.8,7.2,.255,3.8,11.5,.330,0.8,1.0,.750,0.8,5.4,6.2,6.9,1.4,0.3,3.9,3.9,13.9,,77,104
