Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,715,78,16.8,2.2,4.5,.493,0.0,0.0,.063,2.2,4.4,.495,.493,1.4,1.8,.740,1.4,2.5,3.9,0.7,0.4,0.8,0.9,2.4,5.8
5 seasons,,NJN,NBA,,336,45,20.7,2.7,5.6,.481,0.0,0.0,.125,2.7,5.6,.483,.482,1.8,2.4,.746,1.7,3.0,4.7,1.0,0.5,0.9,1.2,2.8,7.2
2 seasons,,SEA,NBA,,105,11,11.6,1.6,3.3,.487,0.0,0.0,.000,1.6,3.2,.490,.487,1.1,1.5,.755,1.0,1.6,2.6,0.3,0.3,0.6,0.8,1.8,4.3
1 season,,WAS,NBA,,81,0,19.1,2.9,5.6,.522,0.0,0.0,.000,2.9,5.5,.526,.522,1.8,2.5,.726,2.0,3.1,5.0,0.7,0.5,1.1,1.0,2.9,7.6
2 seasons,,LAC,NBA,,68,12,9.9,0.8,1.6,.519,0.0,0.0,.000,0.8,1.6,.523,.519,0.5,0.6,.800,0.6,1.5,2.1,0.2,0.3,0.4,0.5,1.5,2.1
2 seasons,,TOR,NBA,,37,7,7.1,0.7,1.5,.455,0.0,0.0,,0.7,1.5,.455,.455,0.3,0.4,.846,0.4,0.8,1.2,0.1,0.1,0.2,0.3,2.0,1.6
1 season,,NOK,NBA,,34,2,20.4,2.4,4.6,.516,0.0,0.0,,2.4,4.6,.516,.516,1.0,1.5,.673,1.7,3.1,4.9,0.5,0.4,0.5,0.7,3.2,5.8
1 season,,VAN,NBA,,32,1,17.3,2.6,4.5,.573,0.0,0.0,.000,2.6,4.4,.577,.573,1.0,1.5,.673,1.9,2.4,4.3,0.5,0.5,0.8,0.9,2.3,6.2
1 season,,MIL,NBA,,15,0,4.8,0.5,1.6,.333,0.0,0.1,.000,0.5,1.5,.348,.333,0.5,0.8,.667,0.3,0.9,1.3,0.0,0.1,0.4,0.5,0.9,1.6
1 season,,UTA,NBA,,6,0,2.0,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.0,0.2,.000,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.7
1 season,,DEN,NBA,,1,0,10.0,3.0,5.0,.600,0.0,0.0,,3.0,5.0,.600,.600,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,3.0,4.0,0.0,6.0
