Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Aaron Williams,,5.2,5.0,4.8,3.7,3.4,1.7,1.6,1.1,1.1,0.7,0.4,0.3,-0.1,-0.1
Ben Poquette,90.8,5.4,5.0,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,,,,
Kris Humphries,87.3,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.6,1.5,0.7,0.2,-0.3,,
Phil Jackson,85.1,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5,,
Austin Croshere,84.6,5.4,4.1,4.1,3.4,3.2,2.6,2.0,1.3,1.1,0.3,0.1,0.0,,
Ken Norman,83.6,5.2,4.8,4.0,4.0,3.2,2.9,1.9,1.1,0.6,-0.6,,,,
Eduardo Najera,82.8,4.8,4.1,4.0,4.0,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1,,
Phil Hubbard,82.7,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,,,,
Malik Rose,81.6,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.5,0.4,0.1,-0.4,-0.5,
Dorell Wright,81.4,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,,,
Channing Frye,81.2,6.4,5.3,4.7,3.7,3.5,3.2,3.0,2.1,0.9,0.8,,,,
