Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,715,78,12000,1572,3190,.493,1,16,.063,1571,3174,.495,.493,975,1318,.740,1016,1774,2790,485,282,539,663,1750,4120
5 seasons,,NJN,NBA,,336,45,6966,913,1897,.481,1,8,.125,912,1889,.483,.482,590,791,.746,571,1014,1585,340,153,297,396,949,2417
2 seasons,,SEA,NBA,,105,11,1215,167,343,.487,0,2,.000,167,341,.490,.487,120,159,.755,102,173,275,36,33,62,80,194,454
1 season,,WAS,NBA,,81,0,1545,235,450,.522,0,3,.000,235,447,.526,.522,146,201,.726,159,250,409,58,41,92,80,234,616
2 seasons,,LAC,NBA,,68,12,671,56,108,.519,0,1,.000,56,107,.523,.519,32,40,.800,42,104,146,16,19,29,31,100,144
2 seasons,,TOR,NBA,,37,7,264,25,55,.455,0,0,,25,55,.455,.455,11,13,.846,15,29,44,3,5,6,11,73,61
1 season,,NOK,NBA,,34,2,692,81,157,.516,0,0,,81,157,.516,.516,35,52,.673,59,107,166,16,13,18,25,110,197
1 season,,VAN,NBA,,32,1,553,82,143,.573,0,1,.000,82,142,.577,.573,33,49,.673,60,78,138,15,16,26,28,72,197
1 season,,MIL,NBA,,15,0,72,8,24,.333,0,1,.000,8,23,.348,.333,8,12,.667,5,14,19,0,2,6,7,14,24
1 season,,UTA,NBA,,6,0,12,2,8,.250,0,0,,2,8,.250,.250,0,1,.000,1,2,3,1,0,0,1,4,4
1 season,,DEN,NBA,,1,0,10,3,5,.600,0,0,,3,5,.600,.600,0,0,,2,3,5,0,0,3,4,0,6
