Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1999-00,23,UTA,NBA,PF,47,432,7.6,.395,.314,.193,6.9,17.7,12.4,8.9,1.7,1.4,12.7,18.6,,-0.5,0.6,0.1,.013,,-3.8,0.1,-3.8,-0.2
2000-01,24,UTA,NBA,PF,27,127,17.6,.541,.209,.465,18.9,19.1,19.0,6.5,2.5,1.9,16.2,22.4,,0.2,0.2,0.4,.158,,1.2,-0.7,0.5,0.1
2001-02,25,UTA,NBA,PF,75,1295,15.4,.568,.286,.258,10.3,16.3,13.2,11.0,1.8,0.8,13.6,17.7,,2.3,1.2,3.5,.130,,1.7,-0.7,0.9,1.0
2002-03,26,UTA,NBA,PF,82,1321,12.4,.496,.314,.253,7.9,16.7,12.5,10.8,1.7,1.4,13.0,18.8,,1.0,1.5,2.5,.091,,-0.4,-0.2,-0.6,0.5
2003-04,27,HOU,NBA,PF,58,547,15.6,.552,.389,.192,10.5,19.1,15.0,7.6,1.2,1.8,10.8,17.7,,1.1,0.9,1.9,.170,,0.4,-0.3,0.1,0.3
2004-05,28,HOU,NBA,PF,66,942,12.3,.549,.541,.172,6.0,16.7,11.5,9.5,1.9,0.8,10.7,14.0,,1.2,1.6,2.8,.141,,0.1,1.4,1.5,0.8
2005-06,29,NJN,NBA,PF,62,718,12.5,.489,.602,.169,9.0,18.1,13.5,9.5,2.1,1.4,8.9,15.5,,0.6,1.3,1.8,.123,,-0.7,1.1,0.4,0.4
2006-07,30,TOT,NBA,PF,31,231,4.9,.373,.589,.232,8.1,18.9,13.5,5.3,1.1,1.0,12.7,14.2,,-0.3,0.4,0.1,.019,,-5.0,-0.2,-5.2,-0.2
2006-07,30,HOU,NBA,PF,24,198,5.6,.409,.592,.224,6.4,19.6,13.1,6.2,1.1,1.2,12.9,14.5,,-0.2,0.4,0.2,.046,,-4.7,0.7,-4.0,-0.1
2006-07,30,MEM,NBA,PF,7,33,0.9,.127,.571,.286,18.1,14.5,16.3,0.0,1.6,0.0,11.3,12.1,,-0.1,0.0,-0.1,-0.140,,-7.1,-5.3,-12.4,-0.1
