Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,23,UTA,NBA,PF,47,9,432,3.7,11.7,.314,1.1,3.7,.295,2.6,8.0,.323,1.6,2.3,.704,2.0,5.3,7.3,2.1,1.2,0.7,1.8,4.6,10.0
2000-01,24,UTA,NBA,PF,27,0,127,5.1,12.2,.419,1.4,2.6,.556,3.7,9.6,.382,4.3,5.7,.750,5.4,5.7,11.1,1.4,1.7,0.9,2.8,6.0,15.9
2001-02,25,UTA,NBA,PF,75,1,1295,5.2,11.0,.476,1.4,3.1,.434,3.9,7.8,.493,2.1,2.8,.735,3.1,4.8,7.9,2.3,1.2,0.4,1.9,3.9,13.9
2002-03,26,UTA,NBA,PF,82,2,1321,4.6,11.5,.402,1.2,3.6,.338,3.4,7.9,.431,2.2,2.9,.757,2.3,5.2,7.4,2.3,1.1,0.7,1.9,4.0,12.7
2003-04,27,HOU,NBA,PF,58,5,547,4.9,11.0,.443,1.8,4.3,.431,3.0,6.7,.451,1.6,2.1,.750,3.0,6.1,9.1,1.5,0.8,0.9,1.4,4.8,13.2
2004-05,28,HOU,NBA,PF,66,0,942,3.7,8.9,.421,1.9,4.8,.397,1.8,4.1,.449,1.1,1.5,.725,1.8,5.3,7.1,2.1,1.3,0.4,1.1,4.5,10.5
2005-06,29,NJN,NBA,PF,62,1,718,3.6,10.1,.353,2.1,6.1,.347,1.5,4.0,.363,1.4,1.7,.794,2.8,5.5,8.3,2.1,1.4,0.6,1.1,4.5,10.6
2006-07,30,TOT,NBA,PF,31,0,231,2.5,8.7,.286,1.2,5.1,.242,1.2,3.6,.348,0.9,2.0,.462,2.5,5.9,8.4,1.2,0.8,0.5,1.4,5.5,7.2
2006-07,30,HOU,NBA,PF,24,0,198,2.7,8.9,.306,1.5,5.3,.276,1.3,3.6,.350,1.1,2.0,.545,2.0,6.2,8.2,1.5,0.7,0.5,1.5,6.0,8.0
2006-07,30,MEM,NBA,PF,7,0,33,1.1,7.6,.143,0.0,4.4,.000,1.1,3.3,.333,0.0,2.2,.000,5.5,4.4,9.8,0.0,1.1,0.0,1.1,2.2,2.2
