Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1993-94,23,DET,NBA,PG,82,2172,12.0,.441,.232,.159,2.4,7.3,4.8,27.7,2.8,0.3,16.1,23.0,,-1.8,1.0,-0.8,-0.017,,-1.5,-1.3,-2.9,-0.5
1994-95,24,DET,NBA,PG,42,944,10.5,.459,.340,.173,3.0,6.4,4.7,25.9,2.8,0.5,18.8,20.0,,-0.7,0.4,-0.3,-0.015,,-2.2,-2.1,-4.3,-0.5
1995-96,25,DET,NBA,PG,80,2138,11.2,.499,.460,.191,2.6,8.2,5.5,14.7,2.2,0.7,10.5,17.0,,1.3,2.6,3.9,.089,,-0.1,0.3,0.2,1.2
1996-97,26,DET,NBA,PG,82,3023,13.4,.515,.449,.195,2.5,7.0,4.8,8.9,2.4,0.7,7.8,20.1,,3.0,3.4,6.4,.101,,1.2,-0.1,1.1,2.4
1997-98,27,DET,NBA,PG,71,2505,12.4,.472,.321,.237,2.9,8.9,5.9,15.1,2.7,0.3,10.8,19.0,,1.2,2.8,4.0,.077,,0.3,0.4,0.7,1.7
1998-99,28,DET,NBA,PG,49,1755,13.9,.517,.292,.170,1.8,9.9,5.9,19.7,2.7,0.4,14.0,17.7,,2.0,2.0,4.0,.109,,1.3,0.6,1.9,1.7
1999-00,29,DET,NBA,PG,82,2919,13.2,.543,.436,.173,1.4,8.5,5.0,17.6,2.2,0.5,13.1,16.6,,3.6,2.0,5.6,.093,,1.8,-0.5,1.3,2.4
2000-01,30,MIL,NBA,PG,82,2002,14.8,.500,.520,.123,1.8,7.7,4.8,17.4,2.7,0.4,7.6,20.2,,3.1,1.4,4.6,.109,,2.3,-1.8,0.5,1.3
2001-02,31,LAL,NBA,PG,82,1616,9.4,.466,.424,.082,1.2,7.0,4.1,11.7,2.1,0.8,9.8,15.6,,0.2,1.7,2.0,.059,,-1.5,-0.4,-1.9,0.0
2002-03,32,TOR,NBA,PG,29,673,10.6,.434,.354,.156,2.4,7.8,5.0,18.8,2.8,0.5,15.0,25.8,,-0.9,0.4,-0.6,-0.041,,-1.9,-2.2,-4.1,-0.4
2003-04,33,DET,NBA,SG,33,661,9.0,.399,.350,.056,2.3,9.3,5.9,20.7,3.2,0.7,18.8,12.8,,-0.4,1.3,0.9,.067,,-2.7,2.0,-0.7,0.2
2004-05,34,DET,NBA,SG,76,1144,9.6,.435,.278,.192,3.9,8.6,6.3,18.3,3.3,0.9,17.2,16.2,,-0.6,2.0,1.4,.058,,-2.8,1.6,-1.3,0.2
2005-06,35,DET,NBA,PG,30,353,10.5,.427,.430,.040,3.3,10.2,6.7,27.1,3.0,0.2,16.4,16.4,,0.0,0.5,0.5,.066,,-1.7,0.0,-1.7,0.0
2006-07,36,DET,NBA,PG,52,745,12.7,.495,.488,.135,1.4,6.1,3.7,20.3,2.5,0.7,11.9,18.7,,0.5,0.8,1.3,.085,,0.0,-1.4,-1.4,0.1
2007-08,37,DET,NBA,PG,24,215,8.8,.427,.406,.141,2.2,5.0,3.6,23.3,3.3,0.7,16.1,17.7,,-0.1,0.3,0.2,.048,,-2.4,-0.3,-2.7,0.0
2008-09,38,CHI,NBA,PG,28,266,7.9,.433,.585,.061,0.9,4.3,2.6,20.4,3.9,0.3,18.4,17.3,,-0.3,0.3,0.0,-0.003,,-2.7,-1.5,-4.2,-0.1
2009-10,39,CHI,NBA,PG,13,122,-2.2,.210,.433,.067,0.9,11.7,6.4,10.1,0.4,0.0,11.5,12.8,,-0.4,0.1,-0.3,-0.117,,-8.7,-1.4,-10.1,-0.2
