Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,25,DET,NBA,PG,2,0,36,2,8,.250,1,4,.250,1,4,.250,.313,1,2,.500,1,1,2,1,1,0,0,2,6
1996-97,26,DET,NBA,PG,5,5,201,29,66,.439,12,29,.414,17,37,.459,.530,5,7,.714,4,14,18,6,6,1,1,9,75
1998-99,28,DET,NBA,PG,5,5,180,14,53,.264,3,11,.273,11,42,.262,.292,5,5,1.000,5,10,15,12,7,0,7,11,36
1999-00,29,DET,NBA,PG,3,3,93,10,32,.313,1,9,.111,9,23,.391,.328,4,6,.667,0,7,7,5,5,1,5,4,25
2000-01,30,MIL,NBA,PG,18,0,289,24,99,.242,8,53,.151,16,46,.348,.283,8,11,.727,2,29,31,34,14,3,13,24,64
2001-02,31,LAL,NBA,PG,18,0,132,14,45,.311,8,29,.276,6,16,.375,.400,0,0,,2,5,7,10,2,0,5,19,36
2003-04,33,DET,NBA,SG,23,0,273,19,65,.292,7,30,.233,12,35,.343,.346,11,12,.917,5,28,33,21,18,4,13,42,56
2004-05,34,DET,NBA,SG,25,0,374,36,113,.319,8,36,.222,28,77,.364,.354,16,22,.727,10,30,40,39,22,7,15,45,96
2005-06,35,DET,NBA,PG,18,0,217,26,78,.333,14,44,.318,12,34,.353,.423,10,10,1.000,8,11,19,29,15,1,14,41,76
2006-07,36,DET,NBA,PG,13,0,133,7,31,.226,4,18,.222,3,13,.231,.290,5,5,1.000,2,8,10,16,6,1,10,22,23
2007-08,37,DET,NBA,PG,11,0,115,8,21,.381,5,11,.455,3,10,.300,.500,0,0,,2,8,10,14,8,0,5,21,21
2008-09,38,CHI,NBA,PG,6,0,24,1,3,.333,1,3,.333,0,0,,.500,3,4,.750,0,5,5,5,2,0,0,3,6
