Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1999-00,23,WAS,NBA,C,11,143,11.9,.403,.000,.304,11.9,13.8,12.9,7.6,1.1,7.1,10.3,18.0,,0.0,0.2,0.1,.043,,-3.5,2.2,-1.3,0.0
2000-01,24,TOT,NBA,C,55,933,16.1,.512,.000,.310,9.5,21.1,15.2,7.4,1.6,8.5,15.6,16.3,,0.6,1.4,2.1,.106,,-2.6,4.1,1.5,0.8
2000-01,24,WAS,NBA,C,40,640,14.7,.482,.000,.268,9.5,22.5,15.9,5.9,1.4,9.1,16.1,15.6,,0.1,0.9,1.0,.074,,-3.7,3.8,0.1,0.3
2000-01,24,DAL,NBA,C,15,293,18.9,.568,.000,.393,9.4,17.8,13.7,10.4,2.1,7.3,14.7,17.9,,0.5,0.6,1.1,.176,,-0.1,4.5,4.5,0.5
2001-02,25,SEA,NBA,C,15,279,11.9,.502,.000,.293,8.6,14.1,11.4,8.6,1.2,3.5,14.7,18.1,,0.2,0.3,0.5,.082,,-2.7,0.5,-2.2,0.0
2002-03,26,SEA,NBA,C,47,575,9.9,.494,.017,.395,6.5,16.0,11.2,3.3,1.0,4.5,13.6,13.2,,0.2,0.7,0.8,.071,,-4.8,1.2,-3.5,-0.2
2003-04,27,SEA,NBA,C,71,1206,13.6,.521,.007,.324,8.5,18.8,13.7,3.7,0.8,6.3,12.0,14.4,,1.3,0.9,2.2,.088,,-2.9,1.3,-1.6,0.1
2004-05,28,TOT,NBA,C,51,451,11.9,.508,.009,.296,7.4,19.7,13.6,2.7,1.7,4.6,11.6,13.8,,0.3,0.7,1.0,.101,,-3.7,1.5,-2.1,0.0
2004-05,28,DAL,NBA,C,34,262,11.7,.477,.013,.203,7.0,17.6,12.4,2.4,2.2,4.5,8.5,16.1,,0.1,0.5,0.6,.106,,-3.9,1.4,-2.5,0.0
2004-05,28,MIL,NBA,C,17,189,12.2,.583,.000,.552,8.0,22.6,15.2,3.2,1.1,4.7,18.2,10.6,,0.2,0.2,0.4,.096,,-3.3,1.7,-1.6,0.0
2005-06,29,WAS,NBA,C,33,250,8.9,.451,.043,.191,8.6,15.8,12.1,7.2,1.9,2.8,13.6,10.5,,0.1,0.3,0.4,.070,,-3.1,1.8,-1.4,0.0
2006-07,30,WAS,NBA,C,44,380,9.6,.490,.030,.152,7.9,16.8,12.3,6.8,0.5,5.9,11.3,9.2,,0.3,0.3,0.6,.072,,-3.2,1.8,-1.4,0.1
2007-08,31,PHI,NBA,C,31,204,7.1,.382,.000,.370,3.5,18.8,11.1,5.4,1.6,7.0,11.3,7.8,,-0.1,0.4,0.3,.065,,-6.0,4.9,-1.2,0.0
2008-09,32,TOT,NBA,C,8,56,11.4,.592,.000,.800,10.1,12.6,11.5,0.0,0.9,2.7,6.9,11.6,,0.1,0.0,0.1,.106,,-3.3,-4.0,-7.3,-0.1
2008-09,32,MIN,NBA,C,1,1,39.8,,,,100.0,0.0,58.5,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.475,,14.7,-9.1,5.6,0.0
2008-09,32,SAC,NBA,C,7,55,10.9,.592,.000,.800,8.4,12.8,10.6,0.0,0.9,2.7,6.9,11.8,,0.1,0.0,0.1,.099,,-3.6,-3.9,-7.5,-0.1
