Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,27,TOT,NBA,C,74,1815,,,2%,57%,42%,-1.2,+0.5,30,47,68,0,,0,,122,0,24,55
2000-01,27,VAN,NBA,C,44,1267,,,,69%,31%,-5.6,+0.7,22,34,48,45,,23,,76,59,14,43
2000-01,27,NYK,NBA,C,30,548,,,5%,27%,68%,+9.6,+7.5,8,13,20,49,,9,,46,26,10,12
2001-02,28,NYK,NBA,PF,77,1563,,,,72%,28%,+2.4,+10.7,28,17,50,95,,34,,89,63,22,26
2002-03,29,NYK,NBA,PF,74,1850,,,1%,81%,18%,-0.5,+2.2,23,24,43,79,,18,,150,59,23,25
2003-04,30,NYK,NBA,PF,56,872,,,4%,74%,22%,-4.6,-3.8,12,21,32,48,,21,,65,33,10,14
2004-05,31,CHI,NBA,PF,70,1271,,,,61%,39%,+6.6,+7.9,17,21,46,71,,30,,131,71,16,42
2005-06,32,CHI,NBA,C,72,824,,,,69%,31%,+0.8,-0.2,17,8,36,54,,21,,88,45,10,15
2006-07,33,CHA,NBA,PF,26,220,,,,92%,8%,-4.2,-0.3,4,4,7,18,,5,,12,7,0,5
2007-08,34,CHA,NBA,C,22,166,,,,38%,62%,+5.4,+10.8,3,2,6,10,,3,,9,7,0,4
