Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,372,96,6438,964,2374,.406,104,361,.288,860,2013,.427,.428,238,366,.650,129,678,807,1309,263,72,470,409,2270
2 seasons,,PHI,NBA,,75,64,2299,427,1061,.402,63,192,.328,364,869,.419,.432,117,181,.646,39,247,286,500,96,23,199,133,1034
1 season,,PHO,NBA,,70,1,1006,119,281,.423,1,23,.043,118,258,.457,.425,22,39,.564,31,98,129,179,49,13,65,66,261
2 seasons,,ORL,NBA,,56,3,549,58,167,.347,5,21,.238,53,146,.363,.362,9,15,.600,16,56,72,89,24,8,39,25,130
1 season,,DET,NBA,,49,21,1169,175,404,.433,15,62,.242,160,342,.468,.452,38,56,.679,14,116,130,241,36,16,68,82,403
1 season,,OKC,NBA,,30,0,155,15,45,.333,1,5,.200,14,40,.350,.344,6,9,.667,5,22,27,28,4,1,9,12,37
1 season,,HOU,NBA,,28,3,329,32,83,.386,3,8,.375,29,75,.387,.404,7,10,.700,6,36,42,64,13,2,26,26,74
1 season,,NOP,NBA,,27,3,617,98,228,.430,10,33,.303,88,195,.451,.452,33,43,.767,14,78,92,154,24,6,45,38,239
1 season,,MIL,NBA,,16,0,138,17,43,.395,4,10,.400,13,33,.394,.442,0,0,,1,14,15,30,8,3,10,12,38
1 season,,MEM,NBA,,15,0,113,11,32,.344,0,2,.000,11,30,.367,.344,5,11,.455,1,4,5,15,5,0,8,11,27
1 season,,GSW,NBA,,6,1,63,12,30,.400,2,5,.400,10,25,.400,.433,1,2,.500,2,7,9,9,4,0,1,4,27
