Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1996-97,23,UTA,NBA,SG,65,1066,10.4,.534,.148,.311,6.5,14.0,10.5,7.1,1.4,0.6,16.8,18.9,,0.1,1.2,1.2,.056,,-2.2,-0.7,-2.9,-0.2
1997-98,24,UTA,NBA,SG,82,1602,15.7,.586,.064,.370,7.1,10.3,8.8,9.4,2.2,0.8,13.5,19.5,,2.9,1.4,4.2,.127,,1.2,-0.5,0.7,1.1
1998-99,25,UTA,NBA,SG,50,1072,12.8,.511,.113,.344,6.0,8.8,7.5,9.7,2.0,0.7,13.6,21.6,,0.7,1.3,2.0,.088,,-1.1,-0.2,-1.4,0.2
1999-00,26,HOU,NBA,SF,82,2700,13.8,.567,.289,.325,3.9,11.9,8.0,14.3,1.8,0.8,17.9,17.6,,3.0,1.9,4.9,.087,,0.7,0.2,0.9,2.0
2000-01,27,HOU,NBA,SG,82,2396,11.9,.528,.288,.319,3.6,12.3,8.0,12.5,1.8,1.2,16.3,15.4,,1.9,2.0,3.9,.078,,-0.2,0.8,0.6,1.6
2001-02,28,NYK,NBA,SG,82,1596,8.0,.489,.378,.287,4.1,13.9,9.0,7.7,1.6,0.7,18.8,15.1,,-0.9,1.3,0.4,.013,,-3.2,0.4,-2.9,-0.3
2002-03,29,NYK,NBA,SF,82,1731,13.4,.553,.261,.354,4.2,13.2,8.6,8.3,2.2,0.8,15.5,19.6,,1.2,1.4,2.7,.074,,-0.6,-0.2,-0.8,0.5
2003-04,30,NYK,NBA,SG,80,1974,10.1,.500,.227,.285,3.1,9.7,6.5,10.2,1.8,0.7,15.7,17.7,,0.2,1.5,1.7,.042,,-1.6,-0.1,-1.7,0.1
2004-05,31,TOT,NBA,SF-SG,66,1171,9.0,.518,.134,.304,4.3,14.4,9.5,8.7,1.8,0.9,16.9,11.8,,0.5,1.6,2.1,.085,,-2.5,1.4,-1.0,0.3
2004-05,31,NYK,NBA,SG,1,20,-6.5,.000,.500,.000,5.8,0.0,2.9,0.0,0.0,0.0,33.3,6.8,,-0.1,0.0,-0.1,-0.172,,-8.9,-2.0,-10.9,0.0
2004-05,31,MIA,NBA,SF,65,1151,9.2,.522,.130,.307,4.2,14.6,9.6,8.8,1.8,0.9,16.7,11.9,,0.5,1.6,2.2,.090,,-2.3,1.5,-0.9,0.3
2005-06,32,MIA,NBA,SF,48,638,6.2,.470,.151,.143,3.5,11.1,7.5,6.9,1.4,0.7,15.2,11.4,,-0.1,0.7,0.5,.039,,-3.7,0.4,-3.3,-0.2
