Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Eddie Gill,,1.1,0.3,0.2,0.1,0.1,0.1,0.0,,,,
Lowes Moore,77.5,1.1,0.2,0.2,,,,,,,,
Kelvin Upshaw,76.3,1.0,0.3,0.3,,,,,,,,
Troy Daniels,75.0,1.1,0.2,0.2,,,,,,,,
Brooks Thompson,72.6,1.1,0.6,0.2,0.1,,,,,,,
Nate Hawthorne,69.2,1.1,0.5,0.1,,,,,,,,
Ray McCallum,67.5,1.4,0.4,0.3,,,,,,,,
Gerald Glass,66.9,0.9,0.5,0.3,0.1,,,,,,,
Reggie Bullock,66.8,1.2,0.2,0.1,,,,,,,,
Kyle Weaver,66.2,1.2,0.3,0.0,,,,,,,,
Randy Livingston,64.8,1.5,0.4,0.3,0.2,0.1,0.1,0.0,0.0,0.0,-0.1,-0.1
