Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,25,IND,NBA,PF,81,4,1732,4.5,8.8,.508,0.0,0.0,.000,4.5,8.8,.509,4.0,6.3,.642,3.9,6.5,10.5,1.1,0.9,1.7,2.2,3.9,13.0
1994-95,26,IND,NBA,PF,44,1,1030,3.8,8.6,.445,0.0,0.0,,3.8,8.6,.445,4.1,6.1,.672,3.7,6.1,9.8,0.9,0.7,1.0,2.2,4.7,11.7
1995-96,27,IND,NBA,PF,82,14,2092,4.1,8.3,.490,0.0,0.0,.500,4.0,8.3,.490,4.2,5.9,.713,3.2,5.4,8.6,0.7,0.6,1.1,1.5,4.3,12.4
1996-97,28,IND,NBA,PF,82,28,2335,4.7,9.9,.480,0.0,0.2,.071,4.7,9.7,.490,3.7,5.6,.666,2.9,6.3,9.2,1.0,0.6,1.3,2.2,4.0,13.2
1997-98,29,IND,NBA,PF,82,12,2191,4.2,8.7,.481,0.0,0.0,.000,4.2,8.6,.484,4.6,6.5,.696,3.2,6.0,9.2,1.0,0.7,1.2,1.7,3.8,12.9
1998-99,30,IND,NBA,PF,49,1,1271,4.6,9.9,.471,0.0,0.0,,4.6,9.9,.471,3.8,5.4,.703,3.3,6.5,9.7,0.9,0.6,1.2,1.4,3.9,13.1
1999-00,31,TOR,NBA,C,79,78,2479,4.5,10.3,.440,0.0,0.0,,4.5,10.3,.440,4.1,5.4,.765,3.4,6.7,10.1,1.5,0.6,1.5,1.8,3.9,13.2
2000-01,32,TOR,NBA,C,78,77,2729,4.9,11.4,.433,0.0,0.0,.000,4.9,11.4,.434,4.2,5.6,.754,3.6,6.8,10.4,1.4,0.3,2.0,1.8,3.0,14.1
2001-02,33,TOR,NBA,PF,77,77,2978,5.0,11.6,.426,0.0,0.0,.000,5.0,11.6,.426,3.5,4.3,.818,3.1,5.9,8.9,1.9,0.7,1.0,1.9,2.7,13.5
2002-03,34,TOR,NBA,C,53,52,1894,5.0,12.2,.407,0.0,0.0,,5.0,12.2,.407,4.1,5.3,.771,2.5,5.8,8.3,2.5,0.4,1.2,2.2,2.9,14.0
2003-04,35,TOT,NBA,C,80,79,2570,3.7,9.2,.403,0.0,0.0,,3.7,9.2,.403,2.5,3.2,.765,2.9,6.5,9.4,1.9,0.5,0.9,1.6,2.9,9.9
2003-04,35,TOR,NBA,C,15,15,538,3.1,8.0,.383,0.0,0.0,,3.1,8.0,.383,2.5,3.3,.755,3.3,6.3,9.6,0.9,0.5,0.5,1.4,3.0,8.6
2003-04,35,CHI,NBA,C,65,64,2032,3.9,9.6,.407,0.0,0.0,,3.9,9.6,.407,2.5,3.2,.768,2.8,6.6,9.4,2.2,0.5,1.0,1.6,2.9,10.3
2004-05,36,CHI,NBA,PF,72,62,1843,3.8,8.2,.461,0.0,0.0,,3.8,8.2,.461,2.2,3.0,.757,3.0,5.4,8.4,1.6,0.5,0.8,1.9,2.9,9.8
2005-06,37,TOT,NBA,PF-C,44,39,940,3.1,7.3,.432,0.0,0.0,.000,3.1,7.2,.434,2.0,3.1,.642,3.4,4.5,8.0,0.8,0.9,0.4,2.0,4.8,8.3
2005-06,37,NYK,NBA,PF,36,31,749,3.3,7.6,.428,0.0,0.0,.000,3.3,7.6,.430,2.2,2.9,.738,3.6,4.7,8.3,0.7,1.0,0.4,2.1,4.8,8.7
2005-06,37,TOR,NBA,C,8,8,191,2.6,5.8,.452,0.0,0.0,,2.6,5.8,.452,1.3,3.8,.350,2.8,4.0,6.8,1.3,0.6,0.2,1.5,4.9,6.6
