Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1994-95,22,TOT,NBA,PG,49,4,552,3.8,11.6,.328,0.9,3.5,.243,2.9,8.1,.365,2.9,3.8,.775,1.1,3.4,4.6,9.0,1.7,0.6,4.7,7.7,11.4,,87,114
1994-95,22,MIN,NBA,PG,34,4,496,3.9,11.1,.352,0.8,3.4,.250,3.1,7.7,.397,3.3,4.2,.775,1.1,3.4,4.4,8.2,1.9,0.5,4.4,8.3,12.0,,90,114
1994-95,22,SAS,NBA,PG,15,0,56,2.7,15.4,.176,0.9,4.5,.200,1.8,10.9,.167,0.0,0.0,,1.8,3.6,5.4,16.3,0.0,0.9,7.2,2.7,6.3,,67,111
1995-96,23,UTA,NBA,PG,65,0,961,5.8,13.4,.430,0.8,3.4,.226,5.0,10.0,.500,3.6,4.3,.844,1.2,3.1,4.3,8.1,1.6,0.2,4.3,7.2,15.9,,101,110
1996-97,24,UTA,NBA,PG,82,0,1083,6.8,15.2,.451,1.0,3.5,.278,5.9,11.6,.504,3.4,4.4,.787,1.0,3.2,4.1,9.7,2.2,0.5,5.4,6.9,18.1,,99,107
1997-98,25,UTA,NBA,PG,82,18,1726,7.1,16.2,.441,1.5,3.7,.407,5.6,12.5,.451,4.0,4.6,.852,0.8,4.4,5.2,10.8,1.7,0.4,5.0,5.7,19.7,,104,108
1998-99,26,UTA,NBA,PG,50,0,1038,7.4,16.7,.446,1.1,2.7,.420,6.3,14.0,.451,3.6,4.3,.838,0.6,4.4,5.0,9.8,1.6,0.1,5.8,6.5,19.6,,95,102
1999-00,27,UTA,NBA,PG,82,5,2096,7.2,17.2,.418,1.5,4.2,.368,5.7,13.1,.434,2.1,2.6,.824,0.6,3.8,4.3,8.9,1.5,0.2,3.4,5.7,18.1,,101,106
2000-01,28,DAL,NBA,SG,82,40,2426,5.6,14.3,.393,2.3,5.7,.398,3.4,8.6,.389,2.2,2.7,.825,0.5,3.7,4.2,6.3,2.1,0.3,2.2,4.6,15.7,,105,105
2001-02,29,NYK,NBA,PG,39,0,609,5.2,15.4,.337,1.2,5.1,.241,4.0,10.3,.385,3.4,4.3,.796,0.8,3.5,4.3,8.8,2.1,0.3,4.7,4.8,15.0,,87,108
2002-03,30,NYK,NBA,PG,82,76,2243,6.2,14.8,.417,3.1,7.9,.389,3.1,6.9,.450,2.1,2.5,.848,0.6,3.8,4.4,10.5,1.7,0.2,3.5,5.2,17.5,,109,108
2003-04,31,TOT,NBA,PG,67,23,1457,6.0,16.3,.368,1.9,5.9,.319,4.1,10.4,.396,2.7,3.2,.854,0.7,3.9,4.7,9.9,2.0,0.2,3.5,5.0,16.6,,99,107
2003-04,31,NYK,NBA,PG,33,23,730,5.9,14.8,.396,2.1,6.2,.329,3.8,8.6,.444,2.4,2.6,.889,0.5,4.3,4.8,11.5,2.2,0.2,3.7,6.2,16.2,,105,105
2003-04,31,PHO,NBA,PG,34,0,727,6.1,17.7,.345,1.7,5.6,.308,4.4,12.2,.363,3.1,3.8,.830,0.9,3.6,4.5,8.3,1.9,0.1,3.4,3.7,17.1,,94,109
2004-05,32,UTA,NBA,PG,74,1,1428,6.1,15.4,.398,1.0,3.9,.262,5.1,11.5,.444,2.5,3.2,.795,0.6,2.9,3.4,9.5,1.7,0.3,4.2,5.9,15.8,,95,112
2005-06,33,TOT,NBA,PG,32,0,394,4.4,13.4,.330,1.7,5.5,.310,2.7,8.0,.344,2.6,3.1,.833,0.4,3.9,4.3,9.0,1.4,0.3,2.7,4.4,13.2,,98,108
2005-06,33,LAC,NBA,PG,13,0,112,1.9,7.9,.235,0.5,1.9,.250,1.4,6.1,.231,0.0,0.0,,0.5,6.1,6.5,11.7,1.4,0.0,1.4,5.1,4.2,,94,106
2005-06,33,DEN,NBA,PG,19,0,282,5.4,15.6,.349,2.2,6.9,.316,3.3,8.7,.375,3.6,4.3,.833,0.4,3.1,3.4,8.0,1.4,0.4,3.3,4.2,16.7,,98,109
