Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,22,DEN,NBA,PG,13,0,117,7.1,15.1,.469,3.7,8.0,.462,3.4,7.1,.478,2.2,3.1,.700,0.6,1.2,1.8,5.5,0.6,0.3,4.0,4.9,20.0
1998-99,24,WAS,NBA,PG,35,6,427,4.2,11.3,.373,0.8,3.0,.257,3.5,8.3,.414,1.8,2.4,.750,0.8,1.0,1.8,6.2,1.6,0.1,2.5,3.0,11.0
1999-00,25,LAC,NBA,PG,25,10,597,4.8,11.2,.430,0.4,1.3,.333,4.4,9.9,.442,0.8,1.0,.765,1.1,3.3,4.3,5.4,0.9,0.1,1.6,3.3,10.9
2000-01,26,LAC,NBA,PG,81,81,2831,5.5,11.9,.463,0.7,1.8,.361,4.8,10.0,.482,1.7,2.0,.807,0.5,2.3,2.8,5.7,1.0,0.1,1.4,2.5,13.3
2001-02,27,LAC,NBA,PG,81,80,3030,5.5,13.3,.413,0.9,2.8,.321,4.6,10.5,.437,2.2,2.6,.836,0.5,2.0,2.5,5.9,0.7,0.1,1.7,2.4,14.1
2002-03,28,POR,NBA,PG,75,1,1311,5.2,11.6,.444,0.2,1.0,.171,5.0,10.7,.469,1.4,1.8,.746,0.6,2.1,2.7,4.7,0.6,0.1,2.1,3.2,11.9
2003-04,29,TOT,NBA,SG-PG,70,57,2365,5.1,11.4,.447,0.7,1.9,.362,4.4,9.4,.465,1.7,2.2,.797,0.5,2.2,2.7,6.5,1.1,0.1,1.8,2.5,12.6
2003-04,29,POR,NBA,SG,39,26,1269,5.6,11.8,.471,0.4,1.3,.319,5.1,10.5,.491,1.6,2.2,.763,0.5,2.2,2.7,5.6,1.0,0.1,1.7,2.7,13.2
2003-04,29,CLE,NBA,PG,31,31,1096,4.5,10.9,.417,1.0,2.6,.388,3.5,8.2,.426,1.8,2.2,.836,0.6,2.1,2.7,7.7,1.2,0.1,1.9,2.3,11.9
2004-05,30,CLE,NBA,PG,76,69,2651,5.1,12.4,.412,1.2,3.6,.345,3.9,8.8,.439,1.8,2.2,.813,0.4,1.7,2.1,5.3,0.8,0.0,1.6,2.4,13.2
2005-06,31,NJN,NBA,SG,28,1,486,4.7,10.6,.441,0.2,1.2,.188,4.4,9.4,.472,1.5,2.1,.690,0.8,2.9,3.7,3.9,0.8,0.1,2.1,2.7,11.0
2006-07,32,CHA,NBA,PG,38,3,702,3.6,9.3,.392,0.1,0.4,.125,3.6,8.9,.405,1.1,1.6,.688,0.7,2.5,3.2,6.4,0.7,0.0,2.2,3.7,8.5
2007-08,33,CHA,NBA,PG,54,26,1410,2.8,6.4,.434,0.1,0.5,.158,2.7,5.9,.457,0.6,0.8,.767,0.4,2.0,2.5,5.6,0.6,0.1,1.9,3.1,6.2
