Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Danny Fortson,,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0.0,,
Alvin Scott,90.2,4.4,4.3,4.0,3.8,2.9,1.7,1.2,0.8,,,,
Nate Williams,87.5,4.5,4.3,4.0,2.9,2.8,2.5,1.9,0.4,,,,
Terry Catledge,86.4,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,,,,
Ron Anderson,86.2,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,,
Luke Jackson,86.0,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,,,,
Len Chappell,85.9,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,,
Dave Stallworth,85.7,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0.0,,,,
Jan Van Breda Kolff,85.6,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1,,,
Eduardo Najera,85.4,4.8,4.1,4.0,4.0,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1
Paul Griffin,84.8,4.9,4.4,4.1,2.9,1.6,1.4,0.4,,,,,
