Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1994-95,22,POR,NBA,SG,45,827,13.3,.500,.107,.280,4.6,13.5,8.8,15.9,2.2,1.4,11.7,17.0,,0.8,1.2,2.0,.115,,-1.2,1.3,0.1,0.4
1995-96,23,POR,NBA,SG,81,2259,13.4,.534,.162,.276,4.4,10.9,7.7,14.6,2.1,0.7,14.3,18.3,,2.1,3.2,5.3,.113,,-0.5,1.4,1.0,1.7
1996-97,24,TOT,NBA,SG,83,1625,12.1,.524,.282,.301,3.1,13.2,8.3,15.4,2.6,1.1,17.9,14.7,,1.0,2.4,3.5,.103,,-1.4,1.7,0.3,0.9
1996-97,24,POR,NBA,SG,41,775,9.1,.479,.353,.314,2.0,11.9,7.1,15.8,2.3,1.5,21.3,13.1,,-0.1,1.1,1.1,.066,,-2.9,1.8,-1.1,0.2
1996-97,24,DET,NBA,SG,42,850,14.8,.558,.230,.292,4.0,14.5,9.4,15.1,2.9,0.7,15.1,16.2,,1.1,1.3,2.4,.137,,-0.1,1.7,1.5,0.8
1997-98,25,TOT,NBA,SG-SF,81,1813,8.6,.410,.165,.144,3.7,11.2,7.4,15.0,3.0,0.5,15.8,12.0,,-0.7,2.0,1.4,.036,,-2.8,1.5,-1.3,0.3
1997-98,25,DET,NBA,SF,24,472,10.1,.478,.163,.221,6.0,11.2,8.6,12.9,2.7,0.2,17.4,13.6,,0.1,0.6,0.7,.069,,-1.7,1.2,-0.6,0.2
1997-98,25,PHI,NBA,SG,57,1341,8.1,.383,.166,.116,2.9,11.1,7.0,15.8,3.1,0.7,15.2,11.5,,-0.8,1.4,0.7,.024,,-3.2,1.6,-1.6,0.1
1998-99,26,PHI,NBA,SG,50,959,11.4,.454,.131,.262,3.2,14.0,8.5,17.9,3.6,0.2,17.7,15.2,,-0.1,1.7,1.6,.082,,-2.1,1.8,-0.3,0.4
1999-00,27,PHI,NBA,SG,82,1952,13.2,.497,.204,.246,2.6,11.4,7.0,19.5,2.9,0.7,14.7,17.3,,1.3,3.0,4.3,.105,,-0.5,1.6,1.1,1.5
2000-01,28,PHI,NBA,SG,76,2394,15.1,.549,.238,.272,1.6,12.9,7.3,26.7,2.3,0.2,20.3,18.9,,2.3,3.5,5.9,.118,,0.9,1.0,1.9,2.4
2001-02,29,PHI,NBA,SG,48,1471,15.8,.540,.261,.249,2.0,12.7,7.4,21.7,2.1,0.7,14.6,19.8,,1.8,2.1,3.9,.128,,0.9,0.5,1.4,1.3
2002-03,30,PHI,NBA,SF,80,2374,13.7,.497,.168,.201,3.0,14.5,8.7,18.6,2.9,0.3,13.1,15.8,,2.1,3.0,5.1,.104,,0.0,1.4,1.4,2.0
2003-04,31,PHI,NBA,SF,75,2112,13.9,.550,.298,.192,2.5,11.5,7.1,16.8,2.2,0.9,14.1,16.2,,2.5,2.3,4.8,.108,,0.6,0.7,1.3,1.7
2004-05,32,PHI,NBA,SG,68,1118,8.4,.510,.437,.113,2.0,15.5,8.7,13.4,2.2,1.2,17.2,7.1,,0.5,1.5,2.0,.085,,-3.1,2.2,-0.9,0.3
2005-06,33,LAL,NBA,PG,14,121,6.1,.272,.167,.167,2.9,16.5,9.7,12.5,2.2,0.0,13.4,5.6,,0.0,0.1,0.1,.041,,-5.2,1.5,-3.7,-0.1
2006-07,34,LAL,NBA,SF,10,131,7.5,.647,.000,.000,0.9,15.1,8.0,14.4,1.6,0.0,32.0,8.6,,0.0,0.1,0.1,.039,,-3.9,-0.4,-4.2,-0.1
