Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1994-95,22,POR,NBA,SG,45,20,827,7.2,16.1,.444,0.7,1.7,.393,6.5,14.4,.451,3.1,4.5,.685,2.2,5.8,8.0,5.5,2.2,1.0,2.4,6.0,18.1,,109,105
1995-96,23,POR,NBA,SG,81,73,2259,7.7,16.6,.467,0.9,2.7,.325,6.9,13.9,.494,3.5,4.6,.764,2.0,5.0,7.0,4.7,2.1,0.5,3.1,4.7,19.8,,108,104
1996-97,24,TOT,NBA,SG,83,11,1625,5.1,12.3,.411,1.4,3.5,.398,3.7,8.8,.416,3.1,3.7,.836,1.3,6.1,7.5,5.4,2.6,0.7,3.0,4.4,14.6,,105,103
1996-97,24,POR,NBA,SG,41,8,775,3.6,10.6,.340,1.6,3.7,.418,2.0,6.9,.297,2.8,3.3,.837,0.9,5.4,6.3,5.7,2.3,1.0,3.3,4.2,11.6,,97,103
1996-97,24,DET,NBA,SG,42,3,850,6.5,14.0,.464,1.2,3.2,.375,5.3,10.8,.491,3.4,4.1,.836,1.8,6.7,8.6,5.1,2.9,0.5,2.8,4.6,17.6,,111,102
1997-98,25,TOT,NBA,SG-SF,81,32,1813,4.1,11.2,.365,0.4,1.9,.190,3.7,9.4,.399,1.2,1.6,.764,1.7,5.1,6.8,5.2,3.0,0.4,2.2,4.8,9.8,,92,104
1997-98,25,DET,NBA,SF,24,1,472,5.0,12.0,.413,0.3,2.0,.176,4.6,10.0,.460,2.3,2.7,.870,2.8,5.1,7.8,4.4,2.7,0.1,2.8,5.4,12.6,,99,104
1997-98,25,PHI,NBA,SG,57,31,1341,3.8,11.0,.347,0.4,1.8,.196,3.4,9.1,.377,0.9,1.3,.688,1.3,5.1,6.5,5.4,3.1,0.5,2.1,4.6,8.8,,89,105
1998-99,26,PHI,NBA,SG,50,4,959,5.4,13.4,.401,0.3,1.8,.194,5.0,11.6,.432,2.5,3.5,.710,1.5,6.4,7.9,5.6,3.6,0.2,3.2,5.1,13.6,,93,96
1999-00,27,PHI,NBA,SG,82,14,1952,6.5,15.7,.411,1.2,3.2,.364,5.3,12.5,.424,3.2,3.9,.829,1.2,5.3,6.5,6.4,2.9,0.5,3.0,5.1,17.3,,102,100
2000-01,28,PHI,NBA,SG,76,33,2394,7.5,15.8,.473,1.2,3.8,.312,6.3,12.0,.524,3.3,4.3,.768,0.7,6.2,6.9,8.3,2.3,0.2,4.5,3.9,19.4,,103,100
2001-02,29,PHI,NBA,SG,48,16,1471,8.1,18.0,.449,1.9,4.7,.398,6.2,13.3,.467,3.5,4.5,.787,1.0,6.1,7.0,6.6,2.1,0.5,3.4,2.7,21.6,,106,101
2002-03,30,PHI,NBA,SF,80,40,2374,6.3,14.7,.429,0.8,2.5,.330,5.5,12.3,.449,2.5,3.0,.836,1.3,6.4,7.7,6.1,2.9,0.2,2.4,3.9,15.9,,104,102
2003-04,31,PHI,NBA,SF,75,41,2112,6.8,14.9,.459,1.9,4.4,.436,4.9,10.5,.469,2.2,2.9,.757,1.2,5.4,6.5,5.0,2.2,0.6,2.7,3.7,17.8,,106,103
2004-05,32,PHI,NBA,SG,68,3,1118,2.8,6.4,.430,0.9,2.8,.323,1.9,3.6,.513,0.5,0.7,.625,0.9,6.9,7.8,4.7,2.2,0.8,1.4,5.2,6.9,,107,104
2005-06,33,LAL,NBA,PG,14,0,121,1.3,5.2,.250,0.0,0.9,.000,1.3,4.4,.300,0.4,0.9,.500,1.3,7.4,8.7,4.8,2.2,0.0,0.9,3.1,3.1,,90,105
2006-07,34,LAL,NBA,SF,10,0,131,4.3,6.7,.647,0.0,0.0,,4.3,6.7,.647,0.0,0.0,,0.4,6.7,7.1,5.1,1.6,0.0,3.1,5.5,8.6,,101,110
