Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,22,POR,NBA,SG,3,0,34,8.5,14.8,.571,1.1,2.1,.500,7.4,12.7,.583,0.0,0.0,,0.0,2.1,2.1,1.1,3.2,0.0,0.0,4.2,18.0
1995-96,23,POR,NBA,SG,5,4,134,3.0,8.1,.367,0.5,2.1,.250,2.4,5.9,.409,1.9,2.4,.778,1.1,3.8,4.8,2.4,1.6,0.5,2.4,3.5,8.3
1996-97,24,DET,NBA,SG,5,0,97,2.6,7.4,.350,0.4,1.9,.200,2.2,5.6,.400,0.0,0.0,,0.4,3.3,3.7,3.7,2.2,0.7,1.1,4.5,5.6
1998-99,26,PHI,NBA,SG,6,0,97,2.6,8.5,.304,0.0,0.4,.000,2.6,8.2,.318,2.2,2.6,.857,1.5,4.1,5.6,4.1,1.5,0.0,0.4,6.3,7.4
1999-00,27,PHI,NBA,SG,10,6,331,5.4,11.2,.485,1.3,3.8,.343,4.1,7.4,.559,2.8,3.4,.839,0.4,3.5,3.9,5.0,0.4,0.2,1.7,2.8,15.0
2000-01,28,PHI,NBA,SG,23,16,892,5.0,12.1,.415,1.1,2.6,.422,4.0,9.6,.414,2.4,3.0,.787,1.0,3.8,4.8,4.9,1.4,0.1,1.9,2.7,13.6
2001-02,29,PHI,NBA,SG,5,0,146,4.9,11.3,.435,1.5,3.9,.375,3.5,7.4,.467,1.7,2.5,.700,0.5,3.9,4.4,3.0,2.5,0.0,2.5,3.0,13.1
2002-03,30,PHI,NBA,SF,12,0,315,4.3,8.1,.535,0.6,1.0,.556,3.8,7.1,.532,1.4,1.6,.857,0.6,4.3,4.9,2.5,1.1,0.2,1.7,3.5,10.6
2004-05,32,PHI,NBA,SG,5,0,85,1.3,3.0,.429,0.4,1.3,.333,0.8,1.7,.500,0.0,0.0,,0.4,4.7,5.1,2.1,1.7,0.0,0.4,3.8,3.0
2005-06,33,LAL,NBA,PG,1,0,8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
