Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1998-99,23,LAC,NBA,C,45,36,1279,7.2,16.7,.431,0.0,0.0,,7.2,16.7,.431,2.4,4.9,.483,5.0,9.9,15.0,1.0,1.1,2.3,3.6,5.7,16.8,,89,107
1999-00,24,LAC,NBA,C,80,77,2493,6.8,15.5,.437,0.0,0.0,,6.8,15.5,.437,2.5,3.9,.651,4.0,9.5,13.4,0.8,0.7,2.9,3.6,6.2,16.0,,88,108
2000-01,25,LAC,NBA,C,82,82,2127,7.8,17.8,.435,0.0,0.0,,7.8,17.8,.435,2.1,3.9,.545,4.2,9.0,13.2,1.2,0.8,2.7,4.3,6.3,17.6,,85,103
2001-02,26,LAC,NBA,C,80,79,2568,8.0,18.4,.433,0.0,0.0,,8.0,18.4,.433,2.4,3.9,.622,3.4,11.3,14.8,1.9,1.1,3.0,3.6,4.5,18.4,,90,102
2002-03,27,LAC,NBA,C,36,36,1369,7.1,16.7,.427,0.0,0.0,,7.1,16.7,.427,2.6,4.0,.657,2.2,10.4,12.6,1.8,0.7,3.0,3.8,4.2,16.9,,86,104
2003-04,28,MIN,NBA,C,43,25,925,7.1,16.6,.425,0.0,0.0,,7.1,16.6,.425,2.1,3.6,.590,4.5,9.7,14.3,1.4,0.9,4.0,3.1,8.0,16.2,,90,96
2004-05,29,MIN,NBA,C,62,34,1215,7.1,15.7,.456,0.0,0.0,,7.1,15.7,.456,2.0,3.1,.667,4.7,9.7,14.4,1.3,0.7,2.5,3.0,8.6,16.3,,96,105
2005-06,30,TOT,NBA,C,48,24,919,6.3,14.0,.446,0.0,0.0,,6.3,14.0,.446,1.4,2.7,.511,2.9,9.9,12.9,1.3,1.3,1.9,3.2,7.1,13.9,,85,102
2005-06,30,MIN,NBA,C,32,24,752,6.3,14.0,.446,0.0,0.0,,6.3,14.0,.446,1.4,2.8,.487,3.2,9.6,12.9,1.2,1.4,1.9,2.9,7.2,13.9,,87,102
2005-06,30,BOS,NBA,C,16,0,167,6.2,14.0,.444,0.0,0.0,,6.2,14.0,.444,1.6,2.5,.625,1.6,11.2,12.8,1.9,0.9,1.9,4.4,6.9,14.0,,79,104
2006-07,31,BOS,NBA,C,24,0,234,4.2,10.3,.413,0.0,0.0,,4.2,10.3,.413,0.4,0.7,.667,3.1,7.6,10.7,1.1,1.8,2.9,3.8,10.7,8.9,,75,103
