Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,23,BOS,NBA,SF,64,6,23.0,3.8,8.5,.441,0.0,0.2,.300,3.7,8.4,.444,.444,3.1,4.7,.671,1.4,2.0,3.4,1.1,0.9,0.2,1.4,2.3,10.7
1996-97,24,BOS,NBA,SG,72,67,33.8,5.2,11.4,.456,0.0,0.1,.250,5.2,11.3,.458,.457,4.6,6.1,.752,1.8,2.8,4.6,1.8,1.0,0.2,1.9,3.0,15.0
1997-98,25,DEN,NBA,SF,4,4,36.3,6.0,15.3,.393,0.0,0.0,,6.0,15.3,.393,.393,7.8,11.3,.689,2.5,2.8,5.3,3.0,1.0,0.0,2.3,2.3,19.8
1998-99,26,DEN,NBA,SF,38,8,20.5,2.1,5.8,.365,0.2,0.7,.231,1.9,5.1,.383,.379,2.9,3.7,.799,0.9,1.2,2.1,1.0,0.7,0.2,1.3,2.0,7.3
1999-00,27,BOS,NBA,SF,68,17,20.3,2.4,5.7,.427,0.4,1.1,.347,2.1,4.6,.446,.460,2.0,2.5,.793,0.8,1.5,2.3,1.4,0.6,0.2,1.0,2.4,7.2
2000-01,28,BOS,NBA,SF,81,11,21.5,2.0,5.5,.362,0.6,1.7,.331,1.4,3.8,.375,.413,2.0,2.9,.714,0.8,1.8,2.6,1.4,0.8,0.2,0.9,2.2,6.6
2001-02,29,BOS,NBA,SF,74,30,23.6,1.9,5.2,.374,0.3,1.2,.279,1.6,4.0,.401,.405,2.2,3.0,.731,0.8,2.2,3.0,1.5,1.0,0.1,1.3,2.4,6.4
2002-03,30,BOS,NBA,SF,82,79,28.7,3.1,7.0,.442,0.5,1.3,.336,2.6,5.7,.467,.474,2.5,3.3,.750,1.7,2.9,4.7,1.7,1.0,0.2,1.2,2.9,9.1
2003-04,31,TOT,NBA,SF,71,36,26.6,3.3,8.4,.386,0.5,1.8,.276,2.8,6.6,.416,.416,3.0,4.0,.760,0.9,3.1,4.0,1.7,1.0,0.1,1.2,2.5,10.0
2003-04,31,BOS,NBA,SF,21,0,24.4,3.7,8.4,.435,0.5,1.5,.344,3.1,6.9,.455,.466,3.7,5.2,.716,1.0,3.5,4.5,1.2,1.0,0.0,1.5,2.5,11.6
2003-04,31,CLE,NBA,SF,50,36,27.5,3.1,8.4,.366,0.5,1.9,.253,2.6,6.5,.399,.394,2.7,3.5,.787,0.9,2.9,3.8,1.9,1.0,0.2,1.1,2.6,9.4
2004-05,32,TOT,NBA,SG,55,39,24.0,2.6,6.0,.430,0.5,1.3,.384,2.1,4.7,.444,.473,2.0,2.9,.696,0.8,2.3,3.1,1.7,0.7,0.1,1.1,2.7,7.7
2004-05,32,NJN,NBA,SG,21,21,35.2,4.1,8.8,.470,0.8,1.9,.425,3.3,6.9,.483,.516,3.5,5.1,.685,1.3,3.2,4.5,2.0,0.8,0.1,1.6,3.8,12.6
2004-05,32,TOR,NBA,SG,34,18,17.1,1.6,4.3,.379,0.3,1.0,.333,1.3,3.3,.393,.417,1.1,1.6,.717,0.5,1.8,2.3,1.5,0.6,0.1,0.8,2.0,4.7
2005-06,33,TOR,NBA,SF,28,11,12.6,1.0,2.7,.387,0.2,0.6,.278,0.9,2.0,.421,.420,1.0,1.4,.737,0.4,1.4,1.8,0.5,0.3,0.1,0.5,2.0,3.3
2006-07,34,TOT,NBA,SF,21,0,5.8,0.9,2.2,.404,0.4,0.9,.421,0.5,1.3,.393,.489,0.4,0.7,.571,0.1,0.7,0.8,0.3,0.1,0.0,0.3,0.6,2.6
2006-07,34,SAS,NBA,SF,16,0,5.5,0.9,2.1,.441,0.5,1.1,.471,0.4,1.1,.412,.559,0.3,0.4,.571,0.1,0.8,0.9,0.4,0.1,0.0,0.3,0.4,2.6
2006-07,34,CHA,NBA,SF,5,0,6.6,0.8,2.6,.308,0.0,0.4,.000,0.8,2.2,.364,.308,0.8,1.4,.571,0.4,0.2,0.6,0.2,0.2,0.0,0.4,1.2,2.4
