Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,23,BOS,NBA,SF,64,6,1470,5.9,13.4,.441,0.1,0.2,.300,5.8,13.1,.444,4.9,7.3,.671,2.3,3.1,5.3,1.7,1.4,0.3,2.2,3.6,16.8
1996-97,24,BOS,NBA,SG,72,67,2435,5.5,12.1,.456,0.0,0.1,.250,5.5,12.0,.458,4.8,6.4,.752,1.9,3.0,4.9,1.9,1.1,0.2,2.1,3.1,15.9
1997-98,25,DEN,NBA,SF,4,4,145,6.0,15.1,.393,0.0,0.0,,6.0,15.1,.393,7.7,11.2,.689,2.5,2.7,5.2,3.0,1.0,0.0,2.2,2.2,19.6
1998-99,26,DEN,NBA,SF,38,8,780,3.7,10.1,.365,0.3,1.2,.231,3.4,8.9,.383,5.1,6.4,.799,1.6,2.2,3.7,1.7,1.2,0.4,2.3,3.5,12.8
1999-00,27,BOS,NBA,SF,68,17,1378,4.3,10.1,.427,0.7,1.9,.347,3.7,8.2,.446,3.5,4.4,.793,1.4,2.6,4.1,2.4,1.1,0.4,1.7,4.3,12.8
2000-01,28,BOS,NBA,SF,81,11,1745,3.3,9.2,.362,0.9,2.9,.331,2.4,6.4,.375,3.4,4.8,.714,1.3,3.0,4.3,2.3,1.3,0.3,1.6,3.7,11.0
2001-02,29,BOS,NBA,SF,74,30,1747,3.0,7.9,.374,0.5,1.8,.279,2.5,6.2,.401,3.3,4.5,.731,1.2,3.4,4.6,2.2,1.6,0.2,2.0,3.7,9.7
2002-03,30,BOS,NBA,SF,82,79,2350,3.9,8.8,.442,0.6,1.7,.336,3.3,7.1,.467,3.1,4.1,.750,2.2,3.7,5.9,2.1,1.3,0.3,1.5,3.6,11.4
2003-04,31,TOT,NBA,SF,71,36,1886,4.4,11.4,.386,0.7,2.4,.276,3.7,9.0,.416,4.1,5.4,.760,1.2,4.2,5.5,2.3,1.3,0.2,1.7,3.4,13.6
2003-04,31,BOS,NBA,SF,21,0,513,5.4,12.4,.435,0.8,2.2,.344,4.6,10.2,.455,5.5,7.6,.716,1.5,5.2,6.7,1.8,1.5,0.1,2.2,3.6,17.1
2003-04,31,CLE,NBA,SF,50,36,1373,4.0,11.0,.366,0.6,2.5,.253,3.4,8.5,.399,3.6,4.6,.787,1.2,3.9,5.0,2.5,1.3,0.2,1.5,3.4,12.3
2004-05,32,TOT,NBA,SG,55,39,1322,3.9,9.0,.430,0.8,2.0,.384,3.1,7.0,.444,3.0,4.4,.696,1.2,3.5,4.7,2.5,1.0,0.1,1.6,4.0,11.5
2004-05,32,NJN,NBA,SG,21,21,739,4.2,9.0,.470,0.8,1.9,.425,3.4,7.1,.483,3.6,5.3,.685,1.4,3.3,4.6,2.0,0.8,0.1,1.7,3.9,12.9
2004-05,32,TOR,NBA,SG,34,18,583,3.4,9.0,.379,0.7,2.0,.333,2.7,6.9,.393,2.3,3.3,.717,1.0,3.8,4.8,3.1,1.4,0.1,1.6,4.1,9.8
2005-06,33,TOR,NBA,SF,28,11,352,3.0,7.7,.387,0.5,1.8,.278,2.5,5.8,.421,2.9,3.9,.737,1.0,4.1,5.1,1.5,0.7,0.2,1.5,5.6,9.3
2006-07,34,TOT,NBA,SF,21,0,121,5.7,14.0,.404,2.4,5.7,.421,3.3,8.3,.393,2.4,4.2,.571,0.9,4.2,5.1,2.1,0.9,0.0,2.1,3.6,16.1
2006-07,34,SAS,NBA,SF,16,0,88,6.1,13.9,.441,3.3,7.0,.471,2.9,7.0,.412,1.6,2.9,.571,0.4,5.3,5.7,2.5,0.8,0.0,2.0,2.5,17.2
2006-07,34,CHA,NBA,SF,5,0,33,4.4,14.2,.308,0.0,2.2,.000,4.4,12.0,.364,4.4,7.6,.571,2.2,1.1,3.3,1.1,1.1,0.0,2.2,6.5,13.1
