Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,29,SEA,NBA,PF,76,2129,.422,7.7,.981,.370,.294,.107,.209,.019,.429,.638,.277,.250,.366,.063,.633,.029,23,.000,.000,,0,0
2001-02,30,SEA,NBA,C,55,1710,.485,6.8,.988,.453,.256,.092,.186,.012,.490,.626,.367,.400,.372,.125,.650,.054,34,1.000,.250,.500,3,0
2002-03,31,BOS,NBA,C,52,942,.478,5.5,.981,.546,.261,.082,.092,.019,.488,.611,.407,.059,.368,.000,.556,.092,17,,.000,,0,0
2003-04,32,TOT,NBA,PF,54,1313,.481,7.2,.993,.405,.273,.144,.171,.007,.483,.571,.407,.419,.446,.333,.628,.044,18,1.000,.000,,0,0
2003-04,32,BOS,NBA,PF,37,1000,.505,7.7,.997,.366,.288,.156,.186,.003,.506,.631,.427,.404,.468,.000,.643,.051,16,,.000,,0,0
2003-04,32,NYK,NBA,PF,17,313,.404,5.6,.980,.535,.222,.101,.121,.020,.402,.434,.318,.500,.333,.500,.564,.020,2,1.000,.000,,0,0
2004-05,33,TOT,NBA,PF-C,27,204,.310,9.4,.976,.405,.190,.119,.262,.024,.317,.294,.375,.200,.364,.000,.462,.000,0,,.000,,1,0
2004-05,33,NYK,NBA,PF,24,191,.342,9.3,.974,.421,.184,.132,.237,.026,.351,.313,.429,.200,.444,.000,.462,.000,0,,.000,,1,0
2004-05,33,HOU,NBA,C,3,13,.000,10.0,1.000,.250,.250,.000,.500,.000,.000,.000,.000,,.000,,,.000,0,,,,0,0
2005-06,34,LAC,NBA,C,8,85,.467,4.8,1.000,.467,.400,.067,.067,.000,.467,.429,.500,1.000,.000,,.429,.067,1,,,,0,0
