Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,22,LAL,NBA,SG,23,0,14.4,2.0,4.6,.425,0.1,0.5,.167,1.9,4.1,.457,.434,2.2,2.9,.758,1.0,1.2,2.2,2.3,1.0,0.2,2.2,2.3,6.2
1993-94,23,LAL,NBA,SG,65,34,23.3,3.8,8.6,.434,0.6,1.8,.328,3.2,6.8,.463,.469,2.2,3.2,.697,1.4,2.2,3.6,2.1,1.4,0.4,2.2,2.9,10.3
1994-95,24,NYK,NBA,SG,12,0,6.6,0.4,1.8,.227,0.1,0.6,.143,0.3,1.3,.267,.250,0.3,0.4,.800,0.3,0.8,1.1,0.7,0.2,0.1,1.1,1.5,1.3
1995-96,25,TOT,NBA,SF,55,17,18.8,2.7,6.1,.445,0.8,1.9,.434,1.9,4.2,.450,.513,1.3,1.7,.742,0.6,2.2,2.8,2.1,1.3,0.3,1.7,2.6,7.5
1995-96,25,NYK,NBA,SF,23,0,9.5,1.5,3.2,.479,0.4,0.8,.526,1.1,2.3,.463,.548,0.6,1.0,.591,0.3,1.1,1.5,1.1,0.5,0.1,0.8,1.8,4.0
1995-96,25,TOR,NBA,SF,32,17,25.6,3.6,8.3,.436,1.1,2.7,.414,2.5,5.5,.446,.504,1.8,2.2,.789,0.8,2.9,3.8,2.9,1.8,0.5,2.4,3.1,10.1
1996-97,26,TOR,NBA,SG,81,81,38.6,4.9,11.7,.417,1.8,4.7,.384,3.1,7.0,.440,.495,2.9,3.8,.775,1.0,4.3,5.3,3.9,2.5,0.6,2.5,3.0,14.5
1997-98,27,TOR,NBA,SG,78,78,37.7,5.9,13.7,.428,1.3,3.9,.326,4.6,9.8,.469,.474,3.5,4.2,.829,1.2,4.0,5.2,3.6,2.4,0.7,2.9,2.5,16.5
1998-99,28,TOR,NBA,SG,50,50,35.4,5.0,13.0,.388,1.0,3.2,.304,4.1,9.8,.415,.425,4.1,4.9,.841,1.2,3.0,4.1,3.7,2.3,0.5,2.4,2.2,15.2
1999-00,29,TOR,NBA,SG,73,73,31.0,4.3,10.5,.407,1.4,3.8,.360,2.9,6.7,.434,.472,2.5,3.0,.843,0.9,3.0,3.9,4.4,1.4,0.6,2.0,2.3,12.4
2000-01,30,SAC,NBA,SG,81,81,36.3,3.8,9.7,.395,1.2,3.1,.376,2.7,6.6,.403,.454,3.5,3.9,.897,1.2,3.2,4.4,3.6,2.3,0.6,1.9,2.8,12.3
2001-02,31,SAC,NBA,SG,81,81,34.5,4.2,9.1,.460,1.1,3.2,.352,3.1,5.9,.518,.521,2.5,3.0,.851,0.9,3.7,4.6,4.2,2.0,0.3,2.0,2.6,12.0
2002-03,32,SAC,NBA,SG,80,80,33.9,3.3,7.0,.479,0.9,2.3,.395,2.4,4.7,.522,.545,1.8,2.2,.810,0.8,3.5,4.3,4.7,2.3,0.5,1.8,2.3,9.4
2003-04,33,SAC,NBA,SG,82,82,33.9,3.9,8.4,.461,0.6,1.7,.345,3.3,6.7,.491,.496,1.8,2.1,.860,0.8,3.2,4.0,4.2,1.8,0.5,1.9,2.3,10.1
2004-05,34,TOT,NBA,SG,52,44,29.3,2.5,6.4,.392,0.3,1.2,.242,2.2,5.2,.426,.414,1.3,1.5,.897,0.7,2.7,3.4,3.8,1.5,0.3,2.0,2.0,6.6
2004-05,34,SAC,NBA,SG,31,31,32.1,2.7,6.6,.407,0.3,1.3,.256,2.4,5.3,.442,.431,1.6,1.8,.893,0.9,3.0,4.0,4.9,1.4,0.4,2.2,2.0,7.3
2004-05,34,ORL,NBA,SG,21,13,25.2,2.2,6.1,.367,0.2,1.1,.217,2.0,5.0,.400,.387,1.0,1.0,.909,0.4,2.1,2.6,2.2,1.8,0.2,1.7,2.1,5.7
2005-06,35,DAL,NBA,SG,7,7,26.4,1.3,3.7,.346,0.0,0.1,.000,1.3,3.6,.360,.346,1.1,1.7,.667,0.3,1.6,1.9,2.0,1.3,0.1,0.9,1.4,3.7
2006-07,36,LAC,NBA,SG,7,0,11.7,0.7,2.4,.294,0.1,0.9,.167,0.6,1.6,.364,.324,0.3,0.4,.667,0.4,1.1,1.6,1.1,0.4,0.1,0.7,1.6,1.9
