Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1992-93,22,LAL,NBA,SG,23,0,332,6.8,15.9,.425,0.3,1.8,.167,6.5,14.1,.457,7.5,9.9,.758,3.6,4.1,7.7,8.0,3.3,0.8,7.5,8.0,21.3,,94,108
1993-94,23,LAL,NBA,SG,65,34,1515,8.1,18.7,.434,1.3,3.9,.328,6.8,14.7,.463,4.8,6.9,.697,3.1,4.7,7.8,4.5,3.0,0.9,4.6,6.2,22.3,,98,108
1994-95,24,NYK,NBA,SG,12,0,79,3.3,14.7,.227,0.7,4.7,.143,2.7,10.0,.267,2.7,3.3,.800,2.0,6.7,8.7,5.3,1.3,0.7,8.7,12.0,10.0,,57,104
1995-96,25,TOT,NBA,SF,55,17,1036,7.5,16.8,.445,2.3,5.3,.434,5.2,11.5,.450,3.4,4.6,.742,1.7,6.0,7.7,5.8,3.5,0.9,4.7,7.0,20.7,,101,107
1995-96,25,NYK,NBA,SF,23,0,218,8.5,17.7,.479,2.4,4.6,.526,6.0,13.1,.463,3.1,5.3,.591,1.9,6.3,8.2,6.0,2.9,0.7,4.6,9.9,22.5,,102,101
1995-96,25,TOR,NBA,SF,32,17,818,7.2,16.6,.436,2.3,5.5,.414,5.0,11.1,.446,3.5,4.5,.789,1.6,5.9,7.6,5.8,3.7,1.0,4.8,6.3,20.3,,100,108
1996-97,26,TOR,NBA,SG,81,81,3127,6.7,16.1,.417,2.5,6.5,.384,4.2,9.6,.440,4.0,5.2,.775,1.4,5.9,7.3,5.3,3.4,0.8,3.4,4.2,19.9,,108,106
1997-98,27,TOR,NBA,SG,78,78,2939,8.1,18.9,.428,1.8,5.4,.326,6.3,13.5,.469,4.8,5.8,.829,1.7,5.5,7.1,5.0,3.4,1.0,4.0,3.5,22.7,,103,109
1998-99,28,TOR,NBA,SG,50,50,1768,7.7,19.9,.388,1.5,4.9,.304,6.2,15.0,.415,6.3,7.5,.841,1.8,4.5,6.3,5.7,3.5,0.8,3.6,3.4,23.2,,104,103
1999-00,29,TOR,NBA,SG,73,73,2264,7.1,17.5,.407,2.3,6.3,.360,4.9,11.2,.434,4.2,5.0,.843,1.4,5.1,6.5,7.4,2.3,1.0,3.3,3.8,20.7,,107,105
2000-01,30,SAC,NBA,SG,81,81,2939,5.4,13.6,.395,1.6,4.3,.376,3.8,9.3,.403,4.8,5.4,.897,1.6,4.5,6.1,5.0,3.2,0.8,2.7,3.9,17.2,,109,99
2001-02,31,SAC,NBA,SG,81,81,2798,6.1,13.2,.460,1.6,4.6,.352,4.5,8.6,.518,3.7,4.3,.851,1.3,5.4,6.7,6.1,2.9,0.4,2.9,3.8,17.4,,112,101
2002-03,32,SAC,NBA,SG,80,80,2710,5.0,10.3,.479,1.4,3.4,.395,3.6,6.9,.522,2.6,3.2,.810,1.1,5.2,6.4,7.0,3.3,0.7,2.7,3.5,13.9,,113,98
2003-04,33,SAC,NBA,SG,82,82,2780,5.9,12.8,.461,0.9,2.6,.345,5.0,10.2,.491,2.8,3.2,.860,1.3,4.8,6.1,6.5,2.8,0.8,2.9,3.5,15.5,,107,104
2004-05,34,TOT,NBA,SG,52,44,1525,4.4,11.2,.392,0.5,2.1,.242,3.9,9.1,.426,2.4,2.6,.897,1.3,4.7,6.0,6.7,2.7,0.6,3.5,3.6,11.6,,95,108
2004-05,34,SAC,NBA,SG,31,31,996,4.3,10.6,.407,0.5,2.0,.256,3.8,8.5,.442,2.6,2.9,.893,1.5,4.9,6.4,7.9,2.2,0.7,3.5,3.2,11.7,,100,109
2004-05,34,ORL,NBA,SG,21,13,529,4.5,12.3,.367,0.5,2.2,.217,4.0,10.1,.400,1.9,2.1,.909,0.9,4.3,5.2,4.4,3.5,0.5,3.4,4.3,11.4,,85,106
2005-06,35,DAL,NBA,SG,7,7,185,2.7,7.7,.346,0.0,0.3,.000,2.7,7.4,.360,2.4,3.5,.667,0.6,3.3,3.8,4.1,2.7,0.3,1.8,3.0,7.7,,93,106
2006-07,36,LAC,NBA,SG,7,0,82,3.2,11.0,.294,0.6,3.9,.167,2.6,7.1,.364,1.3,1.9,.667,1.9,5.2,7.1,5.2,1.9,0.6,3.2,7.1,8.4,,78,106
