Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Kevin Willis,,10.2,8.8,8.6,6.0,6.0,4.7,4.7,4.4,4.2,3.8,3.6,3.1,2.7,2.4,2.3,2.2,1.7,1.6,0.9,0.0,0.0
Tom Chambers,86.2,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.5,4.4,4.3,3.9,3.3,2.5,0.1,-0.4,,,,,
Antonio McDyess,85.3,9.4,7.8,6.7,6.2,6.0,5.7,5.6,4.6,4.2,3.6,3.2,3.0,1.8,1.2,0.8,,,,,,
Zach Randolph,84.4,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,4.3,3.1,3.0,3.0,2.1,1.3,0.5,,,,,,
Shane Battier,84.3,9.1,9.0,8.2,7.8,6.2,5.9,5.2,5.1,4.8,4.4,4.3,3.3,2.4,,,,,,,,
Charles Oakley,83.8,10.5,8.9,7.3,7.0,6.7,6.2,6.0,5.7,5.7,5.6,4.5,3.7,3.5,3.3,2.2,2.1,0.9,0.1,-0.5,,
Jermaine O'Neal,83.8,10.5,9.0,6.4,6.4,5.6,4.9,4.7,3.8,2.7,2.6,2.1,2.0,1.2,1.1,0.9,0.8,0.8,0.6,,,
Nene Hilario,82.9,10.8,9.6,9.3,6.1,5.3,5.0,4.0,3.2,3.2,3.0,2.7,2.7,0.3,-0.1,,,,,,,
Maurice Lucas,82.7,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4.0,3.5,2.5,2.4,2.4,2.3,,,,,,,
Clifford Robinson,82.6,9.6,8.7,8.0,7.5,7.1,6.8,6.6,5.4,5.3,4.6,4.4,4.3,4.2,2.8,2.0,1.7,0.3,0.3,,,
Derrick Coleman,82.4,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2.0,1.2,0.8,-0.1,-0.2,,,,,,
