Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,266,72,18.6,2.2,5.4,.407,0.8,2.0,.386,1.4,3.4,.419,.479,1.1,1.4,.792,0.3,1.1,1.3,2.8,0.6,0.0,1.0,1.5,6.3
3 seasons,,DEN,NBA,,129,53,23.4,2.9,6.9,.413,0.8,2.1,.372,2.1,4.8,.430,.469,1.5,1.9,.805,0.4,1.2,1.6,3.4,0.8,0.1,1.0,1.6,8.0
2 seasons,,CHH,NBA,,75,17,16.0,1.8,4.6,.402,0.9,2.2,.418,0.9,2.4,.388,.503,1.0,1.3,.760,0.1,0.9,1.1,2.7,0.5,0.0,1.4,1.8,5.6
1 season,,MIL,NBA,,24,2,20.1,2.2,5.0,.438,1.2,3.0,.408,1.0,2.1,.480,.558,0.8,1.0,.826,0.4,1.8,2.1,3.3,0.6,0.0,0.6,1.1,6.4
1 season,,SAS,NBA,,10,0,5.1,0.5,1.8,.278,0.2,0.8,.250,0.3,1.0,.300,.333,0.0,0.2,.000,0.0,0.3,0.3,0.3,0.3,0.0,0.2,0.5,1.2
1 season,,DET,NBA,,9,0,6.1,0.4,1.7,.267,0.3,1.0,.333,0.1,0.7,.167,.367,0.8,0.9,.875,0.1,0.8,0.9,0.0,0.0,0.0,0.1,0.6,2.0
1 season,,NJN,NBA,,6,0,3.2,0.3,1.3,.250,0.0,0.3,.000,0.3,1.0,.333,.250,0.0,0.0,,0.0,0.2,0.2,0.2,0.3,0.0,0.2,0.0,0.7
1 season,,MIN,NBA,,5,0,13.2,1.0,2.8,.357,0.4,1.2,.333,0.6,1.6,.375,.429,0.2,0.2,1.000,0.2,1.0,1.2,2.0,0.6,0.0,0.4,1.0,2.6
1 season,,WAS,NBA,,5,0,6.8,0.8,1.4,.571,0.2,0.2,1.000,0.6,1.2,.500,.643,0.8,1.0,.800,0.0,0.6,0.6,0.2,0.0,0.0,0.8,0.2,2.6
1 season,,LAC,NBA,,3,0,7.3,0.3,2.3,.143,0.0,0.7,.000,0.3,1.7,.200,.143,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.7
