Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,266,72,4951,4.2,10.4,.407,1.5,3.9,.386,2.7,6.5,.419,2.2,2.8,.792,0.5,2.1,2.6,5.4,1.2,0.1,1.9,2.8,12.1
3 seasons,,DEN,NBA,,129,53,3025,4.4,10.6,.413,1.2,3.2,.372,3.2,7.4,.430,2.3,2.9,.805,0.6,1.8,2.4,5.2,1.3,0.1,1.6,2.5,12.3
2 seasons,,CHH,NBA,,75,17,1197,4.2,10.3,.402,2.1,5.0,.418,2.1,5.4,.388,2.3,3.0,.760,0.3,2.1,2.4,6.2,1.1,0.0,3.1,4.1,12.7
1 season,,MIL,NBA,,24,2,482,4.0,9.0,.438,2.2,5.3,.408,1.8,3.7,.480,1.4,1.7,.826,0.7,3.1,3.8,5.8,1.1,0.0,1.0,2.0,11.5
1 season,,SAS,NBA,,10,0,51,3.5,12.7,.278,1.4,5.6,.250,2.1,7.1,.300,0.0,1.4,.000,0.0,2.1,2.1,2.1,2.1,0.0,1.4,3.5,8.5
1 season,,DET,NBA,,9,0,55,2.6,9.8,.267,2.0,5.9,.333,0.7,3.9,.167,4.6,5.2,.875,0.7,4.6,5.2,0.0,0.0,0.0,0.7,3.3,11.8
1 season,,NJN,NBA,,6,0,19,3.8,15.2,.250,0.0,3.8,.000,3.8,11.4,.333,0.0,0.0,,0.0,1.9,1.9,1.9,3.8,0.0,1.9,0.0,7.6
1 season,,MIN,NBA,,5,0,66,2.7,7.6,.357,1.1,3.3,.333,1.6,4.4,.375,0.5,0.5,1.000,0.5,2.7,3.3,5.5,1.6,0.0,1.1,2.7,7.1
1 season,,WAS,NBA,,5,0,34,4.2,7.4,.571,1.1,1.1,1.000,3.2,6.4,.500,4.2,5.3,.800,0.0,3.2,3.2,1.1,0.0,0.0,4.2,1.1,13.8
1 season,,LAC,NBA,,3,0,22,1.6,11.5,.143,0.0,3.3,.000,1.6,8.2,.200,0.0,0.0,,0.0,1.6,1.6,3.3,0.0,0.0,1.6,0.0,3.3
