Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,266,72,4951,6.2,15.3,.407,2.2,5.7,.386,4.0,9.6,.419,3.2,4.1,.792,0.8,3.1,3.9,7.9,1.8,0.1,2.8,4.2,17.9,,109,113
3 seasons,,DEN,NBA,,129,53,3025,6.5,15.7,.413,1.8,4.7,.372,4.7,10.9,.430,3.4,4.2,.805,0.9,2.7,3.6,7.7,1.9,0.1,2.4,3.7,18.1,,110,115
2 seasons,,CHH,NBA,,75,17,1197,6.1,15.3,.402,3.1,7.3,.418,3.1,7.9,.388,3.4,4.4,.760,0.5,3.1,3.6,9.2,1.6,0.0,4.6,6.1,18.7,,104,113
1 season,,MIL,NBA,,24,2,482,5.8,13.3,.438,3.2,7.8,.408,2.6,5.5,.480,2.1,2.5,.826,1.0,4.6,5.6,8.6,1.6,0.0,1.5,3.0,16.9,,127,112
1 season,,SAS,NBA,,10,0,51,5.2,18.8,.278,2.1,8.4,.250,3.1,10.5,.300,0.0,2.1,.000,0.0,3.1,3.1,3.1,3.1,0.0,2.1,5.2,12.5,,69,101
1 season,,DET,NBA,,9,0,55,4.0,15.0,.267,3.0,9.0,.333,1.0,6.0,.167,7.0,8.0,.875,1.0,7.0,8.0,0.0,0.0,0.0,1.0,5.0,18.0,,107,106
1 season,,NJN,NBA,,6,0,19,5.6,22.6,.250,0.0,5.6,.000,5.6,16.9,.333,0.0,0.0,,0.0,2.8,2.8,2.8,5.6,0.0,2.8,0.0,11.3,,53,94
1 season,,MIN,NBA,,5,0,66,4.1,11.4,.357,1.6,4.9,.333,2.5,6.5,.375,0.8,0.8,1.000,0.8,4.1,4.9,8.2,2.5,0.0,1.6,4.1,10.6,,105,101
1 season,,WAS,NBA,,5,0,34,6.4,11.2,.571,1.6,1.6,1.000,4.8,9.6,.500,6.4,8.0,.800,0.0,4.8,4.8,1.6,0.0,0.0,6.4,1.6,20.8,,97,110
1 season,,LAC,NBA,,3,0,22,2.4,16.6,.143,0.0,4.8,.000,2.4,11.9,.200,0.0,0.0,,0.0,2.4,2.4,4.8,0.0,0.0,2.4,0.0,4.8,,41,111
