Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,22,MIA,NBA,SG,30,0,323,5.9,15.7,.376,4.0,11.3,.356,1.9,4.5,.425,3.8,4.8,.791,1.3,4.5,5.8,3.5,0.7,0.1,2.6,3.5,19.6
1996-97,23,MIA,NBA,SG,73,47,2111,5.4,11.7,.459,3.1,7.5,.414,2.2,4.1,.541,1.5,1.8,.819,0.6,3.1,3.7,2.7,0.9,0.3,1.9,2.9,15.3
1997-98,24,MIA,NBA,SG,81,81,2621,5.0,11.7,.425,2.1,5.2,.405,2.9,6.5,.441,1.9,2.5,.788,1.0,3.0,4.0,2.5,0.8,0.2,1.4,3.0,14.0
1998-99,25,MIA,NBA,SG,12,2,190,5.9,15.0,.392,2.3,6.6,.343,3.6,8.3,.432,1.5,2.1,.727,0.8,2.3,3.0,1.9,0.6,0.2,1.3,3.4,15.5
1999-00,26,MIA,NBA,SG,53,13,1434,5.7,14.1,.407,2.2,5.7,.390,3.5,8.3,.419,2.1,2.7,.792,0.9,2.9,3.8,3.4,1.0,0.4,2.0,3.2,15.8
2000-01,27,DEN,NBA,SG,80,58,2331,5.2,13.1,.397,2.3,5.9,.385,2.9,7.2,.407,2.4,3.0,.797,0.7,2.8,3.6,2.9,1.0,0.3,1.6,2.6,15.0
2001-02,28,DEN,NBA,SG,71,19,1665,6.8,16.6,.410,1.9,5.2,.371,4.9,11.4,.427,2.0,2.6,.783,0.8,3.1,4.0,2.8,1.3,0.5,2.0,2.3,17.6
2002-03,29,TOR,NBA,SG,63,24,1929,6.1,15.1,.402,1.7,4.7,.365,4.3,10.4,.418,2.9,3.6,.804,0.9,3.1,4.0,2.7,1.1,0.4,1.9,2.9,16.8
2003-04,30,DEN,NBA,SG,73,70,2233,6.4,15.0,.422,1.7,4.7,.367,4.6,10.4,.447,2.3,2.9,.791,0.7,2.5,3.2,2.4,1.0,0.2,1.6,2.9,16.7
2004-05,31,DEN,NBA,SG,3,1,54,6.7,17.3,.385,2.7,8.0,.333,4.0,9.3,.429,3.3,5.3,.625,0.0,4.0,4.0,4.0,0.7,0.0,1.3,1.3,19.3
2005-06,32,TOT,NBA,SG,26,6,458,5.9,15.0,.393,2.0,6.1,.321,3.9,8.9,.442,1.3,2.4,.516,0.4,3.3,3.7,3.2,1.7,0.3,2.4,3.1,15.0
2005-06,32,DEN,NBA,SG,12,6,238,6.4,15.6,.408,1.5,5.3,.286,4.8,10.3,.471,0.8,2.0,.385,0.3,3.9,4.2,2.7,1.2,0.3,1.7,3.2,15.0
2005-06,32,POR,NBA,SG,14,0,220,5.4,14.4,.375,2.5,7.0,.349,2.9,7.4,.400,1.8,2.9,.611,0.5,2.6,3.1,3.8,2.1,0.3,3.3,2.9,15.1
