Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Career,,,NBA,,203,2684,10.0,.469,.130,.227,3.3,8.6,6.0,23.8,2.4,0.9,21.3,17.5,,-0.9,3.2,2.3,.041,,-3.5,-0.2,-3.7,-1.2
2 seasons,,PHO,NBA,,80,1103,11.7,.480,.144,.168,2.6,10.6,6.7,24.7,2.4,0.8,18.5,20.1,,-0.1,1.7,1.6,.069,,-2.8,0.1,-2.7,-0.2
1 season,,HOU,NBA,,64,981,8.3,.487,.096,.284,4.0,7.0,5.6,23.8,2.1,0.9,28.4,16.7,,-0.8,1.1,0.3,.012,,-4.6,-0.1,-4.7,-0.7
2 seasons,,SEA,NBA,,17,202,10.3,.332,.140,.193,6.0,9.2,7.6,20.9,2.4,0.8,4.6,14.9,,0.0,0.2,0.2,.042,,-2.7,-0.4,-3.1,-0.1
1 season,,UTA,NBA,,17,227,13.3,.538,.154,.327,1.6,5.1,3.3,32.1,2.9,0.7,19.1,14.9,,0.3,0.1,0.4,.092,,-0.9,-2.8,-3.7,-0.1
1 season,,ATL,NBA,,12,82,5.2,.352,.000,.417,1.5,6.9,4.3,8.8,4.7,1.7,29.7,11.4,,-0.2,0.1,0.0,-0.028,,-6.4,3.1,-3.3,0.0
1 season,,CHI,NBA,,5,22,-3.0,.000,.000,.000,5.2,15.6,10.4,6.0,2.3,0.0,33.3,6.2,,-0.1,0.0,0.0,-0.045,,-9.0,3.6,-5.3,0.0
1 season,,LAC,NBA,,4,48,1.7,.316,.300,.600,4.7,12.0,8.3,12.4,2.2,0.0,24.0,15.4,,-0.1,0.0,-0.1,-0.110,,-6.2,-1.5,-7.7,-0.1
1 season,,GSW,NBA,,2,7,-3.7,.000,.500,.000,0.0,16.5,7.6,19.2,0.0,0.0,0.0,12.1,,0.0,0.0,0.0,-0.222,,-10.8,-3.5,-14.3,0.0
1 season,,NOH,NBA,,2,12,19.6,.615,.000,.500,0.0,0.0,0.0,14.7,0.0,0.0,0.0,18.5,,0.1,0.0,0.1,.239,,-0.2,-8.1,-8.2,0.0
