Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1996-97,21,HOU,NBA,PG,64,0,981,5.3,12.2,.437,0.5,1.2,.409,4.9,11.1,.440,2.2,3.5,.646,1.7,3.3,5.0,8.3,2.1,0.6,5.4,5.7,13.4,,91,106
1997-98,22,ATL,NBA,PG,12,0,82,2.0,8.0,.250,0.0,0.0,,2.0,8.0,.250,2.7,3.3,.800,0.7,3.3,4.0,3.3,4.7,1.3,4.0,4.0,6.7,,67,101
1998-99,23,PHO,NBA,PG,1,0,22,12.1,19.4,.625,0.0,0.0,,12.1,19.4,.625,4.8,4.8,1.000,0.0,4.8,4.8,7.3,4.8,0.0,2.4,2.4,29.1,,129,99
1999-00,24,PHO,NBA,PG,79,15,1081,7.3,17.6,.416,0.9,2.6,.345,6.4,15.0,.428,2.5,2.9,.839,1.2,5.0,6.1,8.0,2.3,0.6,4.3,6.1,18.0,,94,100
2000-01,25,GSW,NBA,PG,2,0,7,0.0,14.6,.000,0.0,7.3,.000,0.0,7.3,.000,0.0,0.0,,0.0,7.3,7.3,7.3,0.0,0.0,0.0,0.0,0.0,,28,112
2001-02,26,SEA,NBA,PG,13,0,176,4.6,16.5,.278,0.3,2.5,.125,4.3,14.1,.304,3.1,3.4,.909,2.8,4.9,7.7,8.0,2.8,0.6,0.6,3.4,12.6,,100,105
2002-03,27,NOH,NBA,PG,2,0,12,9.0,17.9,.500,0.0,0.0,,9.0,17.9,.500,9.0,9.0,1.000,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,26.9,,141,111
2003-04,28,LAC,NBA,PG,4,0,48,2.2,11.0,.200,0.0,3.3,.000,2.2,7.7,.286,4.4,6.6,.667,2.2,5.5,7.7,4.4,2.2,0.0,4.4,7.7,8.8,,69,109
2004-05,29,UTA,NBA,PG,17,4,227,5.3,12.4,.423,1.2,1.9,.625,4.1,10.5,.386,3.6,4.1,.882,0.7,2.2,2.9,10.8,2.9,0.5,3.4,6.7,15.3,,111,110
2005-06,30,CHI,NBA,PG,5,0,22,0.0,4.7,.000,0.0,0.0,,0.0,4.7,.000,0.0,0.0,,2.3,7.0,9.4,2.3,2.3,0.0,2.3,14.1,0.0,,38,102
2006-07,31,SEA,NBA,PG,4,0,26,0.0,6.0,.000,0.0,0.0,,0.0,6.0,.000,0.0,0.0,,2.0,0.0,2.0,8.0,0.0,0.0,2.0,4.0,0.0,,61,119
