Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1996-97,21,CLE,NBA,C,80,1238,9.5,.486,.005,.296,10.9,12.0,11.4,6.1,1.2,2.5,18.6,23.7,,-1.2,1.7,0.5,.020,,-5.4,-0.4,-5.9,-1.2
1997-98,22,CLE,NBA,C,80,1412,11.0,.517,.002,.295,9.7,17.4,13.6,7.4,1.0,1.5,19.3,22.4,,-0.7,2.2,1.5,.052,,-3.9,0.0,-3.9,-0.7
1998-99,23,TOT,NBA,C,50,1394,13.6,.520,.002,.376,9.3,18.6,13.9,9.4,1.3,2.0,17.2,19.1,,0.7,1.5,2.2,.076,,-1.8,0.5,-1.2,0.3
1998-99,23,CLE,NBA,C,17,467,10.5,.485,.008,.389,6.3,19.2,12.8,6.5,1.3,2.8,15.9,18.3,,-0.2,0.6,0.4,.041,,-3.9,0.9,-3.0,-0.1
1998-99,23,BOS,NBA,C,33,927,15.1,.535,.000,.371,10.7,18.3,14.4,10.9,1.4,1.6,17.8,19.5,,0.8,1.0,1.8,.094,,-0.7,0.4,-0.3,0.4
1999-00,24,BOS,NBA,C,79,1797,13.8,.527,.002,.260,11.0,21.2,15.8,7.1,1.2,1.2,17.5,20.0,,1.0,1.5,2.5,.066,,-2.1,-0.8,-3.0,-0.4
2000-01,25,BOS,NBA,C,82,1901,12.8,.517,.000,.303,12.1,18.5,15.2,5.9,1.4,0.9,15.1,16.6,,1.8,1.7,3.4,.087,,-2.2,-0.7,-3.0,-0.5
2001-02,26,BOS,NBA,C,79,1343,11.4,.513,.000,.399,13.3,15.1,14.2,3.6,1.4,1.0,15.1,14.1,,1.3,1.7,3.1,.111,,-3.1,0.0,-3.1,-0.4
2002-03,27,SEA,NBA,C,26,403,8.2,.492,.000,.312,7.2,19.0,13.0,1.6,1.2,1.6,19.1,15.2,,-0.2,0.4,0.2,.027,,-6.1,-1.0,-7.0,-0.5
2003-04,28,SEA,NBA,C,65,1419,11.2,.511,.000,.225,8.4,15.5,12.0,6.2,0.8,1.5,14.6,17.2,,0.8,0.3,1.1,.037,,-2.4,-1.2,-3.6,-0.6
2004-05,29,SEA,NBA,C,33,335,14.5,.581,.011,.356,11.0,17.5,14.2,4.5,1.1,0.7,10.7,15.5,,0.8,0.2,1.0,.142,,-0.1,-1.5,-1.6,0.0
2005-06,30,TOT,NBA,C,33,353,7.4,.535,.000,.239,9.1,12.8,10.9,3.9,0.3,0.4,16.9,12.0,,0.2,-0.1,0.1,.012,,-2.6,-3.0,-5.7,-0.3
2005-06,30,SEA,NBA,C,24,321,7.4,.518,.000,.266,9.6,13.7,11.7,3.2,0.3,0.5,16.4,11.9,,0.2,-0.1,0.0,.006,,-2.7,-3.0,-5.7,-0.3
2005-06,30,SAC,NBA,C,9,32,8.2,.714,.000,.000,3.7,3.6,3.7,10.6,0.0,0.0,22.2,12.9,,0.0,0.0,0.0,.068,,-2.4,-3.3,-5.7,0.0
2006-07,31,SAC,NBA,C,3,13,-22.1,.000,.000,.000,0.0,18.4,9.0,0.0,0.0,0.0,33.3,20.7,,-0.2,0.0,-0.1,-0.534,,-23.9,-4.7,-28.6,-0.1
