Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,21,CLE,NBA,C,80,3,1238,5.4,12.3,.440,0.0,0.1,.500,5.4,12.2,.439,2.7,3.6,.736,3.1,3.3,6.3,1.2,0.8,1.0,3.2,6.3,13.5
1997-98,22,CLE,NBA,C,80,0,1412,6.0,12.4,.480,0.0,0.0,.000,6.0,12.4,.480,2.6,3.7,.708,2.8,5.2,8.0,1.5,0.7,0.7,3.4,5.0,14.5
1998-99,23,TOT,NBA,C,50,44,1394,5.3,10.6,.495,0.0,0.0,.000,5.3,10.6,.496,2.4,4.0,.587,2.9,5.6,8.6,1.9,0.9,0.9,2.6,4.4,12.9
1998-99,23,CLE,NBA,C,17,12,467,4.2,9.7,.437,0.0,0.1,.000,4.2,9.6,.440,2.5,3.8,.673,1.8,5.5,7.2,1.2,0.8,1.2,2.2,4.1,11.0
1998-99,23,BOS,NBA,C,33,32,927,5.8,11.1,.521,0.0,0.0,,5.8,11.1,.521,2.3,4.1,.547,3.5,5.7,9.2,2.3,0.9,0.8,2.8,4.5,13.8
1999-00,24,BOS,NBA,C,79,72,1797,6.2,12.3,.499,0.0,0.0,.000,6.2,12.3,.500,2.2,3.2,.681,3.6,6.4,10.0,1.5,0.8,0.6,2.9,4.8,14.5
2000-01,25,BOS,NBA,C,82,7,1901,4.7,9.9,.476,0.0,0.0,,4.7,9.9,.476,2.2,3.0,.728,3.9,5.5,9.4,1.2,1.0,0.4,2.0,4.3,11.6
2001-02,26,BOS,NBA,C,79,9,1343,3.7,8.1,.455,0.0,0.0,,3.7,8.1,.455,2.4,3.2,.742,4.5,4.8,9.3,0.8,1.0,0.5,1.7,4.7,9.7
2002-03,27,SEA,NBA,C,26,2,403,3.7,8.3,.441,0.0,0.0,,3.7,8.3,.441,2.0,2.6,.759,2.2,5.7,8.0,0.4,0.8,0.7,2.2,4.1,9.3
2003-04,28,SEA,NBA,C,65,39,1419,5.1,10.4,.489,0.0,0.0,,5.1,10.4,.489,1.5,2.3,.641,2.6,4.8,7.3,1.3,0.6,0.7,2.0,4.1,11.6
2004-05,29,SEA,NBA,C,33,1,335,4.8,9.3,.517,0.0,0.1,.000,4.8,9.2,.523,2.9,3.3,.871,3.2,5.2,8.4,1.0,0.8,0.3,1.3,5.7,12.6
2005-06,30,TOT,NBA,C,33,12,353,3.8,7.2,.521,0.0,0.0,,3.8,7.2,.521,1.0,1.7,.588,2.8,3.8,6.5,0.9,0.2,0.2,1.6,5.1,8.6
2005-06,30,SEA,NBA,C,24,12,321,3.6,7.2,.500,0.0,0.0,,3.6,7.2,.500,1.1,1.9,.588,2.9,4.0,7.0,0.8,0.2,0.2,1.6,4.9,8.3
2005-06,30,SAC,NBA,C,9,0,32,5.6,7.9,.714,0.0,0.0,,5.6,7.9,.714,0.0,0.0,,1.1,1.1,2.3,2.3,0.0,0.0,2.3,6.8,11.3
2006-07,31,SAC,NBA,C,3,0,13,0.0,11.1,.000,0.0,0.0,,0.0,11.1,.000,0.0,0.0,,0.0,5.5,5.5,0.0,0.0,0.0,5.5,8.3,0.0
