Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1997-98,23,TOT,NBA,SG,54,1071,10.3,.504,.099,.319,2.6,6.0,4.4,15.7,1.9,0.2,15.3,16.0,,0.5,0.8,1.3,.059,,-2.4,-1.2,-3.6,-0.4
1997-98,23,POR,NBA,SG,41,864,11.0,.519,.101,.332,2.7,5.3,4.0,16.0,1.9,0.2,15.5,16.9,,0.6,0.8,1.4,.075,,-1.9,-1.0,-2.9,-0.2
1997-98,23,TOR,NBA,SG,13,207,7.3,.420,.091,.250,2.6,9.0,5.7,14.5,2.0,0.3,14.1,12.0,,0.0,0.0,0.0,-0.009,,-4.3,-2.4,-6.7,-0.2
1998-99,24,TOR,NBA,PG,50,1051,10.4,.477,.177,.219,2.1,7.0,4.5,20.7,2.6,0.9,17.7,13.6,,0.5,0.6,1.2,.053,,-1.8,-1.3,-3.0,-0.3
1999-00,25,TOR,NBA,PG,55,779,13.6,.463,.192,.226,3.8,8.6,6.1,26.6,2.3,1.0,13.0,20.6,,0.4,0.6,1.0,.063,,-0.8,-1.7,-2.5,-0.1
2000-01,26,TOR,NBA,SG,82,2394,15.2,.483,.141,.189,2.3,7.8,5.0,27.2,2.7,0.8,11.0,17.4,,3.3,2.1,5.4,.109,,0.9,-0.3,0.6,1.6
2001-02,27,TOR,NBA,PG,82,2927,13.8,.470,.199,.144,2.2,9.0,5.5,26.6,2.5,0.7,12.7,18.4,,2.2,3.1,5.2,.086,,0.1,0.1,0.2,1.7
2002-03,28,TOR,NBA,PG,78,2638,16.7,.508,.161,.264,2.3,8.6,5.3,27.7,2.2,0.6,11.2,19.7,,4.4,1.2,5.5,.101,,1.5,-1.4,0.1,1.4
2003-04,29,TOR,NBA,SG,56,1730,11.4,.463,.179,.171,1.2,8.8,5.0,23.6,1.8,0.4,12.8,17.1,,0.3,1.8,2.1,.058,,-2.1,-0.3,-2.4,-0.2
2005-06,31,TOR,NBA,PG,1,10,-4.7,.129,.667,.667,0.0,38.3,18.3,0.0,0.0,0.0,0.0,17.9,,-0.1,0.0,-0.1,-0.278,,-14.9,-8.5,-23.4,-0.1
2006-07,32,LAC,NBA,PG,2,10,6.6,.266,.500,2.000,12.1,0.0,6.0,41.1,10.6,0.0,44.4,31.2,,-0.1,0.0,-0.1,-0.309,,-8.9,3.7,-5.1,0.0
