Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,26,SAS,NBA,PF,57,1219,,,19%,77%,4%,+8.3,-0.9,26,13,35,63,,17,,106,59,6,52
2001-02,27,SAS,NBA,PF,82,1725,,,12%,88%,1%,+8.3,+2.1,57,34,49,81,,21,,140,107,23,69
2002-03,28,SAS,NBA,PF,79,1933,,,2%,98%,,+6.1,0.0,66,53,51,84,,24,,273,115,21,112
2003-04,29,SAS,NBA,PF,67,1256,,,29%,66%,5%,+4.8,-4.9,42,31,39,68,,26,,154,77,9,42
2004-05,30,TOT,NBA,PF,76,1475,,,16%,78%,5%,0.0,-3.6,34,24,44,0,,0,,131,0,10,37
2004-05,30,SAS,NBA,PF,50,862,,,,99%,1%,+1.7,-9.4,20,13,23,46,,11,,89,37,5,26
2004-05,30,NYK,NBA,PF,26,613,,1%,39%,49%,10%,-2.3,+0.6,14,11,21,33,,12,,42,38,5,11
2005-06,31,NYK,NBA,PF,72,1119,,,21%,79%,,-12.1,-7.1,34,16,30,58,,13,,146,54,8,35
2006-07,32,NYK,NBA,PF,65,810,,2%,32%,62%,4%,-7.5,-5.1,21,14,30,53,,15,,140,20,3,15
2007-08,33,NYK,NBA,PF,49,494,,,12%,70%,18%,-5.2,+2.4,10,14,16,51,,5,,62,26,7,15
2008-09,34,TOT,NBA,SF-PF,38,470,,2%,33%,54%,11%,-1.9,+3.0,18,5,13,0,,0,,80,0,3,12
2008-09,34,NYK,NBA,PF,18,160,,1%,21%,58%,20%,-3.5,-0.8,6,4,7,17,,3,,24,6,1,5
2008-09,34,OKC,NBA,SF,20,310,,3%,39%,52%,6%,-1.0,+6.2,12,1,6,22,,5,,56,19,2,7
