Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,22,CHH,NBA,PF,54,1,525,4.2,8.8,.477,0.0,0.1,.000,4.2,8.6,.484,2.6,4.3,.613,4.8,6.4,11.2,2.2,1.9,1.2,2.8,7.8,11.0
1997-98,23,SAS,NBA,PF,53,0,429,5.0,11.4,.434,0.1,0.3,.333,4.9,11.2,.436,3.3,5.1,.639,3.4,4.2,7.6,1.6,1.8,0.6,3.7,6.6,13.3
1998-99,24,SAS,NBA,PF,47,0,608,5.5,11.9,.463,0.0,0.1,.000,5.5,11.8,.465,5.8,8.6,.671,5.3,5.4,10.8,1.7,2.4,1.3,3.3,7.1,16.8
1999-00,25,SAS,NBA,PF,74,3,1341,4.7,10.3,.457,0.0,0.1,.333,4.7,10.3,.458,3.8,5.3,.722,3.6,5.4,9.0,1.3,0.9,1.4,2.7,6.2,13.3
2000-01,26,SAS,NBA,PF,57,9,1219,4.7,10.9,.435,0.1,0.5,.176,4.6,10.4,.447,3.4,4.7,.713,2.8,6.3,9.1,1.4,1.7,1.2,2.2,4.4,12.9
2001-02,27,SAS,NBA,PF,82,1,1725,6.1,13.2,.463,0.0,0.3,.083,6.1,13.0,.470,3.9,5.4,.720,3.6,6.7,10.3,1.3,1.5,0.9,2.9,4.3,16.1
2002-03,28,SAS,NBA,PF,79,13,1933,5.4,11.7,.459,0.0,0.1,.400,5.3,11.6,.459,4.5,5.7,.791,2.8,6.7,9.4,2.3,1.1,0.7,3.2,3.8,15.3
2003-04,29,SAS,NBA,PF,67,13,1256,5.0,11.6,.428,0.0,0.1,.000,5.0,11.5,.431,5.2,6.4,.813,3.2,6.0,9.2,2.0,1.0,0.7,3.2,4.7,15.2
2004-05,30,TOT,NBA,PF,76,5,1475,4.8,10.8,.449,0.0,0.2,.100,4.8,10.5,.457,3.3,4.5,.737,3.1,5.2,8.3,1.4,1.1,0.4,2.5,5.1,13.0
2004-05,30,SAS,NBA,PF,50,1,862,5.2,11.2,.464,0.0,0.2,.000,5.2,11.0,.471,2.9,4.1,.697,4.0,5.5,9.5,1.7,1.3,0.4,2.3,5.2,13.2
2004-05,30,NYK,NBA,PF,26,4,613,4.3,10.2,.425,0.1,0.4,.167,4.3,9.9,.435,4.0,5.1,.782,2.0,4.7,6.7,1.1,0.9,0.4,2.7,4.9,12.7
2005-06,31,NYK,NBA,PF,72,35,1119,3.4,9.0,.374,0.0,0.0,1.000,3.3,9.0,.371,3.4,4.4,.781,2.7,5.6,8.3,2.2,1.4,0.5,2.6,4.7,10.2
2006-07,32,NYK,NBA,PF,65,2,810,3.3,8.3,.398,0.1,0.4,.250,3.2,7.9,.404,1.9,2.3,.808,2.1,5.7,7.8,2.9,1.2,0.4,2.9,5.3,8.5
2007-08,33,NYK,NBA,PF,49,3,494,4.8,13.1,.367,0.1,0.5,.286,4.7,12.6,.370,2.7,3.7,.725,2.3,5.2,7.5,2.0,1.2,0.5,2.9,5.8,12.5
2008-09,34,TOT,NBA,SF-PF,38,0,470,3.4,10.0,.344,0.0,0.5,.000,3.4,9.5,.363,3.1,3.9,.784,1.3,6.1,7.4,2.8,0.8,0.2,2.8,5.5,10.0
2008-09,34,NYK,NBA,PF,18,0,160,2.5,9.2,.268,0.0,0.9,.000,2.5,8.3,.297,1.8,2.5,.727,0.9,6.1,7.0,2.3,0.2,0.2,3.8,5.4,6.8
2008-09,34,OKC,NBA,SF,20,0,310,3.9,10.5,.378,0.0,0.3,.000,3.9,10.1,.391,3.7,4.6,.800,1.5,6.0,7.5,3.0,1.0,0.2,2.2,5.6,11.6
