Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,885,650,29067,6.0,13.9,.428,1.1,3.0,.365,4.9,10.9,.445,2.7,3.3,.825,1.5,3.7,5.1,3.5,0.9,0.2,2.7,2.4,15.7
5 seasons,,DAL,NBA,,289,289,10482,7.3,16.6,.443,0.8,2.5,.336,6.5,14.1,.461,4.0,4.9,.808,2.0,2.8,4.8,3.7,0.9,0.3,3.1,2.1,19.4
2 seasons,,HOU,NBA,,104,104,4109,4.4,10.4,.423,1.9,4.8,.391,2.5,5.5,.450,1.2,1.4,.856,0.5,4.7,5.3,2.7,1.0,0.2,2.0,2.6,11.9
2 seasons,,ATL,NBA,,96,90,3317,6.3,15.8,.402,1.4,3.7,.390,4.9,12.1,.406,2.8,3.2,.872,1.3,3.9,5.1,3.0,0.8,0.2,2.5,2.3,16.9
2 seasons,,PHO,NBA,,67,4,1417,4.3,10.9,.393,2.1,5.4,.389,2.2,5.5,.396,0.8,1.0,.868,0.9,4.7,5.5,3.3,0.6,0.3,2.3,3.4,11.5
1 season,,SAC,NBA,,63,0,1309,5.6,12.7,.442,0.9,2.0,.451,4.7,10.8,.440,1.3,1.5,.855,2.3,4.9,7.2,3.2,0.9,0.1,2.2,3.6,13.4
1 season,,MIA,NBA,,55,19,1825,4.7,10.6,.442,0.7,1.6,.469,3.9,9.0,.438,1.5,1.7,.862,1.1,4.7,5.7,2.8,0.8,0.3,2.1,2.9,11.6
1 season,,POR,NBA,,49,9,1175,4.7,11.3,.411,0.8,2.8,.278,3.9,8.6,.454,2.6,3.1,.842,1.1,3.8,4.9,3.9,1.3,0.2,2.5,2.5,12.7
1 season,,PHI,NBA,,48,47,1788,5.0,10.8,.460,0.8,2.3,.348,4.2,8.5,.489,2.5,3.1,.818,1.4,3.2,4.6,4.5,0.8,0.1,2.9,2.3,13.2
1 season,,CLE,NBA,,39,26,1140,5.1,13.1,.390,0.3,1.3,.238,4.8,11.8,.408,2.1,2.7,.786,1.1,3.4,4.6,3.6,1.1,0.2,2.6,3.1,12.6
1 season,,GSW,NBA,,31,31,1258,6.6,16.4,.402,0.6,2.3,.278,6.0,14.1,.422,2.9,3.7,.805,1.7,3.2,5.0,4.5,1.1,0.1,3.4,2.1,16.7
1 season,,NJN,NBA,,31,31,1155,5.7,13.7,.417,1.2,3.4,.370,4.5,10.4,.432,3.2,3.8,.852,1.6,4.1,5.7,5.0,0.9,0.5,3.1,2.5,16.0
1 season,,LAL,NBA,,13,0,92,3.5,12.1,.290,1.6,4.3,.364,2.0,7.8,.250,0.0,0.0,,0.0,4.7,4.7,1.6,0.8,0.0,2.0,2.0,8.6
